action,direction,floorIndex,riderNumAfter,time
1,1,8,2,955.2709028603083
1,1,8,3,959.5395053663883
2,1,12,0,960.6897708281425
1,-1,14,1,966.255759722595
2,-1,2,0,974.0209775723755
1,1,16,1,977.6862068591793
2,1,14,0,981.6897708281425
1,-1,11,1,988.3342786376986
2,1,15,0,992.6897708281425
2,1,6,0,992.9010325739282
1,-1,13,1,995.8334596795926
2,-1,14,0,998.255759722595
2,1,7,0,1003.9010325739282
2,1,16,0,1005.6897708281425
1,1,8,4,1009.3947981652473
2,-1,13,0,1010.255759722595
2,1,17,0,1017.6897708281425
2,1,8,0,1021.9010325739282
1,-1,10,1,1023.228947921927
1,1,15,1,1024.9076548620146
1,-1,2,1,1029.9383178113776
2,-1,2,0,1031.9383178113776
2,-1,11,0,1032.255759722595
1,1,11,1,1035.0624513120513
2,1,10,0,1042.9010325739282
2,-1,10,0,1043.255759722595
2,-1,14,0,1044.9076548620146
1,1,1,2,1050.8955376670644
2,1,11,0,1053.9010325739282
1,-1,14,1,1055.0946814381277
2,-1,14,0,1056.0946814381277
2,1,12,0,1064.9010325739282
1,1,4,1,1065.5869631921428
1,-1,14,1,1072.847819429992
2,-1,6,0,1084.255759722595
2,1,14,0,1085.9010325739282
1,1,11,1,1090.1973613258392
2,-1,0,0,1096.52851136994
1,-1,9,1,1097.4666052574694
2,1,15,0,1098.9010325739282
2,1,4,0,1107.5869631921428
1,-1,2,1,1109.2398494326965
2,-1,9,0,1109.4666052574694
2,1,16,0,1109.9010325739282
1,-1,15,1,1110.720234142997
1,-1,7,6,1115.9694753403003
1,1,3,8,1117.1368248436538
2,-1,3,0,1117.255759722595
2,-1,14,0,1120.9010325739282
1,-1,11,1,1122.9072301424235
1,1,0,7,1124.7338554815205
2,-1,2,0,1128.255759722595
1,-1,12,9,1128.5553129141947
2,1,6,0,1128.5869631921428
1,1,4,1,1139.5168876068344
2,-1,0,0,1149.255759722595
2,1,4,0,1151.5168876068344
2,-1,11,0,1153.9072301424235
2,-1,4,0,1160.4666052574694
1,1,1,3,1162.2544428991016
1,-1,12,10,1164.6919433635367
1,-1,7,7,1167.0483873228509
2,-1,3,0,1171.4666052574694
1,-1,3,1,1175.584853466588
2,-1,3,0,1176.584853466588
2,1,11,0,1179.5869631921428
1,1,12,1,1186.2803986503
2,-1,2,0,1187.584853466588
2,1,12,0,1198.2803986503
1,-1,9,1,1198.8730405805477
1,1,6,1,1201.7935832232088
2,1,9,0,1202.5168876068344
1,-1,16,3,1217.32173900796
2,1,6,0,1233.7935832232088
2,1,16,0,1240.2803986503
2,-1,2,0,1245.9072301424235
1,-1,14,1,1254.9884170972778
1,1,3,9,1259.7435879770114
1,-1,13,1,1260.874680152516
1,-1,3,1,1264.3551295825534
1,-1,8,1,1265.9554513001954
2,-1,14,0,1266.9884170972778
2,1,16,0,1272.5168876068344
2,1,4,0,1274.3551295825534
1,1,10,1,1276.3339705913102
2,-1,13,0,1277.9884170972778
1,-1,10,1,1281.337602936333
2,-1,10,0,1312.337602936333
2,1,14,0,1314.7935832232088
1,-1,15,2,1316.403935873692
1,-1,4,1,1316.9734021700897
1,-1,8,2,1318.9820043473528
2,-1,8,0,1334.337602936333
2,1,10,0,1337.3339705913102
1,1,4,1,1338.7645321110074
1,1,15,1,1340.7871803165285
1,-1,8,1,1343.1850718240917
1,-1,9,2,1344.5020385839482
1,1,5,1,1347.3257667273451
2,1,4,0,1350.7645321110074
2,-1,14,0,1350.7871803165285
1,-1,11,1,1356.0103309182725
2,1,12,0,1358.3339705913102
2,-1,9,0,1358.7935832232088
1,1,0,8,1361.0167859608146
2,1,5,0,1362.7645321110074
2,-1,5,0,1365.337602936333
1,-1,6,1,1365.7219677734688
1,-1,7,8,1368.951417931501
2,-1,8,0,1369.7935832232088
1,1,6,1,1377.8387032214277
1,1,9,1,1378.4423305066496
1,1,15,2,1382.569552141748
2,-1,3,0,1387.337602936333
2,-1,11,0,1388.0103309182725
1,1,8,1,1388.502721681918
2,-1,6,0,1391.7935832232088
2,-1,2,0,1399.337602936333
2,1,8,0,1399.502721681918
1,-1,5,1,1407.07072985637
1,-1,11,1,1407.648599231429
2,1,9,0,1411.502721681918
2,-1,4,0,1413.7935832232088
2,-1,3,0,1425.7935832232088
1,-1,9,1,1435.8182978982093
2,-1,7,0,1437.0103309182725
2,-1,5,0,1438.8387032214277
2,-1,6,0,1449.0103309182725
1,-1,16,4,1455.198187641028
2,-1,3,0,1459.8387032214277
1,-1,8,1,1478.7437051972786
2,1,6,0,1481.8387032214277
2,1,16,0,1482.502721681918
2,-1,2,0,1492.0103309182725
1,-1,15,3,1501.145688739499
1,1,8,1,1504.4242918760929
2,-1,0,0,1513.0103309182725
2,1,8,0,1526.4242918760929
2,1,9,0,1537.4242918760929
2,1,10,0,1547.4242918760929
1,1,14,1,1554.6263565631484
2,-1,11,0,1565.502721681918
2,1,14,0,1565.6263565631484
2,1,9,0,1568.7437051972786
1,1,5,1,1569.3657229937126
1,1,13,1,1573.9929211852732
2,-1,10,0,1576.502721681918
1,-1,14,1,1577.0908393053173
2,1,17,0,1596.6263565631484
1,-1,12,11,1604.9206941613093
2,1,13,0,1605.9929211852732
1,-1,5,1,1606.5273741320682
2,-1,4,0,1609.3657229937126
1,1,16,1,1622.527778047437
2,-1,5,0,1627.5273741320682
1,-1,0,1,1634.344967647674
1,-1,15,4,1636.1826046793026
2,-1,4,0,1637.5273741320682
2,1,16,0,1637.9929211852732
2,-1,15,0,1646.527778047437
1,1,3,10,1648.271708504692
1,-1,6,1,1649.7816773119737
2,-1,14,0,1659.527778047437
2,-1,13,0,1671.527778047437
2,-1,0,0,1675.344967647674
1,-1,13,1,1682.947454059361
1,1,11,1,1685.1826923115702
2,1,11,0,1697.1826923115702
