boarding_time,cid,destination,leave_time,source,start_time,waiting_time,journey_time
719.1984127488679,57,3,741.1984127488679,1,593.1902569037187,126.00815584514919,148.0081558451492
699.6573516090224,64,B3,742.6573516090224,2,689.6573516090224,10.0,53.0
686.6983141055755,59,9,747.6983141055755,3,666.6983141055755,20.0,81.0
743.6573516090224,70,B4,754.6573516090224,B3,743.0818164828004,0.5755351262220074,11.575535126222007
721.6573516090224,62,B4,754.6573516090224,B1,683.8511681693153,37.80618343970707,70.80618343970707
709.0694703113272,36,1,771.0694703113272,7,406.61531209644147,302.45415821488575,364.45415821488575
709.0694703113272,58,B1,783.0694703113272,7,654.6687766916115,54.40069361971575,128.40069361971575
772.0694703113272,72,B4,814.0694703113272,1,758.1318953266309,13.937574984696312,55.93757498469631
762.1984127488679,55,10,814.1984127488679,5,589.7017325917549,172.49668015711302,224.49668015711302
808.0209775723755,77,14,829.0209775723755,12,798.0209775723755,10.0,31.0
792.813481164028,74,14,829.0209775723755,11,772.813481164028,20.0,56.20749640834754
813.1594882755071,75,1,834.1594882755071,3,793.1594882755071,20.0,41.0
705.704861007712,63,1,834.1594882755071,13,685.704861007712,20.0,148.4546272677951
766.6573516090224,51,5,838.6573516090224,B3,570.9193435699909,195.73800803903146,267.73800803903146
861.0696575321195,79,15,872.0696575321195,14,831.0696575321195,30.0,41.0
762.1984127488679,60,15,872.0696575321195,5,670.7693651875643,91.4290475613036,201.30029234455526
871.6633124569735,84,B4,882.6633124569735,B3,861.6633124569735,10.0,21.0
838.8981247901233,81,B4,882.6633124569735,1,838.8981247901233,0.0,43.765187666850125
871.0645717266448,83,13,943.0645717266448,6,861.0645717266448,10.0,82.0
914.6897708281425,86,8,947.6897708281425,5,904.6897708281425,10.0,43.0
899.2831354936544,85,8,947.6897708281425,4,889.2831354936544,10.0,58.4066353344881
863.2740553399815,82,9,959.6897708281425,1,853.2740553399815,10.0,106.41571548816103
911.0209775723755,76,B1,973.0209775723755,6,796.094670595649,114.92630697672655,176.92630697672655
