action,direction,floor,name,riderNumAfter,time
1,-1.0,1,3010,,771.0694703113272
2,-1.0,1,3010,2.0,773.0694703113272
1,1.0,6,3007,,774.1984127488679
1,-1.0,6,3006,,776.704861007712
1,1.0,B2,3009,,778.6573516090224
1,1.0,10,3008,,782.813481164028
1,-1.0,B1,3010,,783.0694703113272
2,-1.0,B1,3010,1.0,784.0694703113272
1,1.0,7,3007,,784.1984127488679
1,-1.0,5,3006,,786.704861007712
1,1.0,B1,3009,,788.6573516090224
1,1.0,11,3008,,792.813481164028
2,1.0,11,3008,1.0,793.813481164028
1,-1.0,B2,3010,,794.0694703113272
1,1.0,8,3007,,794.1984127488679
1,1.0,1,3009,,798.6573516090224
1,-1.0,4,3006,,803.1594882755071
1,-1.0,B3,3010,,804.0694703113272
2,-1.0,B3,3010,1.0,804.0694703113272
1,1.0,9,3007,,804.1984127488679
1,1.0,12,3008,,808.0209775723755
1,1.0,2,3009,,808.6573516090224
2,1.0,12,3008,2.0,809.0209775723755
1,-1.0,3,3006,,813.1594882755071
1,-1.0,B4,3010,,814.0694703113272
2,-1.0,3,3006,2.0,814.1594882755071
1,1.0,10,3007,,814.1984127488679
2,1.0,10,3007,1.0,815.1984127488679
1,1.0,3,3009,,818.6573516090224
1,1.0,13,3008,,819.0209775723755
1,-1.0,2,3006,,824.1594882755071
1,1.0,B3,3010,,825.0694703113272
1,1.0,11,3007,,825.1984127488679
1,1.0,4,3009,,828.6573516090224
1,1.0,14,3008,,829.0209775723755
2,1.0,14,3008,0.0,831.0209775723755
1,-1.0,1,3006,,834.1594882755071
1,1.0,B2,3010,,835.0694703113272
2,-1.0,1,3006,0.0,836.1594882755071
0,,1,3006,,836.1594882755071
1,1.0,5,3009,,838.6573516090224
2,1.0,5,3009,0.0,839.6573516090224
0,,5,3009,,839.6573516090224
2,-1.0,1,3006,1.0,840.8981247901233
1,-1.0,13,3008,,841.0209775723755
1,1.0,12,3007,,841.0696575321195
1,1.0,B1,3010,,845.0694703113272
1,-1.0,B1,3006,,850.8981247901233
1,-1.0,12,3008,,851.0209775723755
1,1.0,13,3007,,851.0696575321195
1,-1.0,B2,3006,,860.8981247901233
1,-1.0,11,3008,,861.0209775723755
1,1.0,14,3007,,861.0696575321195
2,1.0,14,3007,2.0,862.0696575321195
1,1.0,1,3010,,863.2740553399815
2,1.0,1,3010,1.0,864.2740553399815
1,-1.0,10,3008,,871.0209775723755
1,1.0,6,3009,,871.0645717266448
1,-1.0,B3,3006,,871.6633124569735
1,1.0,15,3007,,872.0696575321195
2,-1.0,B3,3006,2.0,872.6633124569735
2,1.0,6,3009,1.0,873.0645717266448
0,,15,3007,,874.0696575321195
1,1.0,2,3010,,874.2740553399815
1,-1.0,9,3008,,881.0209775723755
1,-1.0,B4,3006,,882.6633124569735
1,1.0,7,3009,,883.0645717266448
1,1.0,3,3010,,884.2740553399815
0,,B4,3006,,884.6633124569735
1,-1.0,8,3008,,891.0209775723755
1,1.0,8,3009,,893.0645717266448
1,1.0,4,3010,,899.2831354936544
1,-1.0,7,3008,,901.0209775723755
2,1.0,4,3010,2.0,901.2831354936544
1,1.0,9,3009,,903.0645717266448
1,-1.0,6,3008,,911.0209775723755
2,-1.0,6,3008,1.0,913.0209775723755
1,1.0,10,3009,,913.0645717266448
1,1.0,5,3010,,914.6897708281425
2,1.0,5,3010,3.0,915.6897708281425
1,-1.0,5,3008,,923.0209775723755
1,1.0,11,3009,,923.0645717266448
1,1.0,6,3010,,925.6897708281425
1,-1.0,4,3008,,933.0209775723755
1,1.0,12,3009,,933.0645717266448
1,1.0,7,3010,,935.6897708281425
2,1.0,7,3010,5.0,937.6897708281425
1,1.0,B3,3006,,940.9010325739282
1,-1.0,3,3008,,943.0209775723755
1,1.0,13,3009,,943.0645717266448
2,1.0,13,3009,0.0,944.0645717266448
0,,13,3009,,944.0645717266448
1,1.0,8,3010,,947.6897708281425
2,1.0,8,3010,3.0,949.6897708281425
1,1.0,B2,3006,,950.9010325739282
1,-1.0,2,3008,,953.0209775723755
1,-1.0,12,3009,,956.5285113699399
1,1.0,9,3010,,959.6897708281425
2,1.0,9,3010,2.0,960.6897708281425
1,1.0,B1,3006,,960.9010325739282
1,-1.0,1,3008,,963.0209775723755
1,-1.0,11,3009,,966.5285113699399
1,1.0,10,3010,,970.6897708281425
1,1.0,1,3006,,970.9010325739282
1,-1.0,B1,3008,,973.0209775723755
2,-1.0,B1,3008,0.0,974.0209775723755
0,,B1,3008,,974.0209775723755
1,-1.0,14,3007,,976.255759722595
1,-1.0,10,3009,,976.5285113699399
1,1.0,11,3010,,980.6897708281425
1,1.0,2,3006,,980.9010325739282
2,1.0,11,3010,3.0,981.6897708281425
1,-1.0,13,3007,,986.255759722595
1,-1.0,9,3009,,986.5285113699399
1,1.0,3,3006,,990.9010325739282
1,1.0,12,3010,,991.6897708281425
2,1.0,12,3010,2.0,992.6897708281425
2,1.0,3,3006,1.0,992.9010325739282
1,-1.0,12,3007,,996.255759722595
1,-1.0,8,3009,,996.5285113699399
2,-1.0,12,3007,1.0,998.255759722595
1,1.0,13,3010,,1002.6897708281425
1,1.0,4,3006,,1002.9010325739282
2,1.0,4,3006,0.0,1003.9010325739282
2,1.0,13,3010,2.0,1005.6897708281425
1,-1.0,7,3009,,1006.5285113699399
1,-1.0,11,3007,,1008.255759722595
2,-1.0,11,3007,2.0,1010.255759722595
1,1.0,5,3006,,1013.9010325739282
1,1.0,14,3010,,1015.6897708281425
1,-1.0,6,3009,,1016.5285113699399
2,1.0,14,3010,0.0,1017.6897708281425
0,,14,3010,,1017.6897708281425
1,-1.0,10,3007,,1020.255759722595
2,1.0,5,3006,4.0,1021.9010325739282
1,-1.0,5,3009,,1026.52851136994
1,-1.0,9,3007,,1030.255759722595
1,1.0,6,3006,,1031.9010325739282
2,-1.0,B1,3008,1.0,1031.9383178113776
2,-1.0,9,3007,3.0,1032.255759722595
1,-1.0,13,3010,,1034.9076548620146
1,-1.0,4,3009,,1036.52851136994
1,1.0,7,3006,,1041.9010325739282
1,-1.0,B2,3008,,1041.9383178113776
1,-1.0,8,3007,,1042.255759722595
2,1.0,7,3006,3.0,1042.9010325739282
2,-1.0,8,3007,4.0,1043.255759722595
1,-1.0,12,3010,,1044.9076548620146
2,-1.0,12,3010,0.0,1044.9076548620146
2,1.0,12,3010,0.0,1044.9076548620146
0,,12,3010,,1044.9076548620146
1,-1.0,3,3009,,1046.52851136994
1,-1.0,B3,3008,,1051.9383178113776
1,1.0,8,3006,,1052.9010325739282
1,-1.0,7,3007,,1053.255759722595
2,1.0,8,3006,4.0,1053.9010325739282
2,-1.0,12,3010,1.0,1056.0946814381277
1,-1.0,2,3009,,1056.52851136994
1,-1.0,B4,3008,,1061.9383178113776
0,,B4,3008,,1062.9383178113776
1,-1.0,6,3007,,1063.255759722595
1,1.0,9,3006,,1063.9010325739282
2,1.0,9,3006,3.0,1064.9010325739282
1,-1.0,11,3010,,1066.0946814381277
1,-1.0,1,3009,,1066.52851136994
1,-1.0,5,3007,,1073.255759722595
1,1.0,10,3006,,1074.9010325739282
1,1.0,B3,3008,,1075.5869631921428
1,-1.0,10,3010,,1076.0946814381277
1,-1.0,B1,3009,,1076.52851136994
1,-1.0,4,3007,,1083.255759722595
2,-1.0,4,3007,3.0,1084.255759722595
1,1.0,11,3006,,1084.9010325739282
1,1.0,B2,3008,,1085.5869631921428
2,1.0,11,3006,2.0,1085.9010325739282
1,-1.0,9,3010,,1086.0946814381277
1,-1.0,B2,3009,,1086.52851136994
1,-1.0,3,3007,,1094.255759722595
1,1.0,B1,3008,,1095.5869631921428
1,1.0,12,3006,,1095.9010325739282
1,-1.0,8,3010,,1096.0946814381277
1,-1.0,B3,3009,,1096.52851136994
2,-1.0,B3,3009,0.0,1096.52851136994
2,1.0,B3,3009,0.0,1096.52851136994
0,,B3,3009,,1096.52851136994
2,1.0,12,3006,1.0,1098.9010325739282
1,-1.0,2,3007,,1104.255759722595
1,1.0,1,3008,,1105.5869631921428
1,-1.0,7,3010,,1107.4666052574694
2,1.0,1,3008,1.0,1107.5869631921428
1,1.0,13,3006,,1108.9010325739282
2,-1.0,7,3010,2.0,1109.4666052574694
2,1.0,13,3006,0.0,1109.9010325739282
1,-1.0,1,3007,,1114.255759722595
2,-1.0,1,3007,0.0,1117.255759722595
1,1.0,2,3008,,1117.5869631921428
1,-1.0,6,3010,,1119.4666052574694
1,-1.0,12,3006,,1119.9010325739282
1,1.0,B2,3009,,1120.720234142997
2,-1.0,12,3006,1.0,1120.9010325739282
1,-1.0,B1,3007,,1127.255759722595
1,1.0,3,3008,,1127.5869631921428
2,-1.0,B1,3007,1.0,1128.255759722595
2,1.0,3,3008,0.0,1128.5869631921428
1,-1.0,5,3010,,1129.4666052574694
1,1.0,B1,3009,,1130.720234142997
1,-1.0,11,3006,,1132.9072301424235
1,-1.0,B2,3007,,1138.255759722595
1,1.0,4,3008,,1138.5869631921428
1,-1.0,4,3010,,1139.4666052574694
1,-1.0,10,3006,,1142.9072301424235
1,-1.0,B3,3007,,1148.255759722595
1,1.0,5,3008,,1148.5869631921428
2,-1.0,B3,3007,0.0,1149.255759722595
0,,B3,3007,,1149.255759722595
1,-1.0,3,3010,,1149.4666052574694
1,1.0,1,3009,,1149.5168876068344
2,1.0,1,3009,1.0,1151.5168876068344
1,-1.0,9,3006,,1152.9072301424235
2,-1.0,9,3006,2.0,1153.9072301424235
1,1.0,6,3008,,1158.5869631921428
1,-1.0,2,3010,,1159.4666052574694
2,-1.0,2,3010,1.0,1160.4666052574694
1,1.0,2,3009,,1161.5168876068344
1,-1.0,8,3006,,1163.9072301424235
1,1.0,7,3008,,1168.5869631921428
1,-1.0,1,3010,,1170.4666052574694
2,-1.0,1,3010,0.0,1171.4666052574694
0,,1,3010,,1171.4666052574694
1,1.0,3,3009,,1171.5168876068344
1,-1.0,7,3006,,1173.9072301424235
2,-1.0,1,3010,1.0,1176.584853466588
1,1.0,8,3008,,1178.5869631921428
2,1.0,8,3008,1.0,1179.5869631921428
1,1.0,4,3009,,1181.5168876068344
1,-1.0,6,3006,,1183.9072301424235
1,-1.0,B1,3010,,1186.584853466588
2,-1.0,B1,3010,0.0,1187.584853466588
0,,B1,3010,,1187.584853466588
1,1.0,5,3009,,1191.5168876068344
1,-1.0,5,3006,,1193.9072301424235
1,1.0,9,3008,,1196.2803986503
2,1.0,9,3008,2.0,1198.2803986503
1,1.0,6,3009,,1201.5168876068344
2,1.0,6,3009,0.0,1202.5168876068344
1,-1.0,4,3006,,1203.9072301424235
1,1.0,10,3008,,1208.2803986503
1,1.0,1,3010,,1211.7935832232088
1,1.0,7,3009,,1212.5168876068344
1,-1.0,3,3006,,1213.9072301424235
1,1.0,11,3008,,1218.2803986503
1,1.0,2,3010,,1221.7935832232088
1,1.0,8,3009,,1222.5168876068344
1,-1.0,2,3006,,1223.9072301424235
1,1.0,12,3008,,1228.2803986503
1,1.0,3,3010,,1231.7935832232088
1,1.0,9,3009,,1232.5168876068344
2,1.0,3,3010,1.0,1233.7935832232088
1,-1.0,1,3006,,1233.9072301424235
1,1.0,13,3008,,1238.2803986503
2,1.0,13,3008,0.0,1240.2803986503
0,,13,3008,,1240.2803986503
1,1.0,10,3009,,1242.5168876068344
1,1.0,4,3010,,1243.7935832232088
1,-1.0,B1,3006,,1243.9072301424235
2,-1.0,B1,3006,0.0,1245.9072301424235
0,,B1,3006,,1245.9072301424235
1,1.0,11,3009,,1252.5168876068344
1,1.0,5,3010,,1253.7935832232088
1,1.0,12,3009,,1262.5168876068344
1,1.0,6,3010,,1263.7935832232088
1,-1.0,12,3008,,1264.9884170972778
2,-1.0,12,3008,1.0,1266.9884170972778
1,1.0,13,3009,,1272.5168876068344
2,1.0,13,3009,0.0,1272.5168876068344
2,-1.0,13,3009,0.0,1272.5168876068344
0,,13,3009,,1272.5168876068344
1,1.0,7,3010,,1273.7935832232088
1,1.0,1,3006,,1274.3551295825534
2,1.0,1,3006,0.0,1274.3551295825534
2,-1.0,1,3006,0.0,1274.3551295825534
0,,1,3006,,1274.3551295825534
1,-1.0,11,3008,,1276.9884170972778
2,-1.0,11,3008,2.0,1277.9884170972778
1,1.0,8,3010,,1283.7935832232088
1,1.0,2,3006,,1286.3339705913102
1,-1.0,10,3008,,1291.337602936333
1,1.0,9,3010,,1293.7935832232088
1,1.0,3,3006,,1296.3339705913102
1,-1.0,9,3008,,1301.337602936333
1,1.0,10,3010,,1303.7935832232088
1,1.0,4,3006,,1306.3339705913102
1,-1.0,8,3008,,1311.337602936333
2,-1.0,8,3008,3.0,1312.337602936333
1,1.0,11,3010,,1313.7935832232088
2,1.0,11,3010,0.0,1314.7935832232088
1,1.0,5,3006,,1316.3339705913102
1,-1.0,7,3008,,1322.337602936333
1,-1.0,10,3010,,1324.7935832232088
1,1.0,6,3006,,1326.3339705913102
1,1.0,B2,3007,,1326.9734021700897
1,-1.0,6,3008,,1332.337602936333
2,-1.0,6,3008,5.0,1334.337602936333
1,-1.0,9,3010,,1334.7935832232088
1,1.0,7,3006,,1336.3339705913102
1,1.0,B1,3007,,1336.9734021700897
2,1.0,7,3006,1.0,1337.3339705913102
1,-1.0,5,3008,,1344.337602936333
1,-1.0,8,3010,,1344.7935832232088
1,1.0,8,3006,,1347.3339705913102
1,1.0,1,3007,,1348.7645321110074
2,1.0,1,3007,1.0,1350.7645321110074
