direction,elevIndex,floorIndex,latterStatus,time
1,3010,9,0,587.2473273257849
1,3010,11,1,588.2473273257849
-1,3007,11,1,588.5594448334297
1,3007,8,1,589.7017325917549
1,3007,4,1,593.1902569037187
1,3010,10,0,598.2473273257849
1,3010,13,1,599.2473273257849
-1,3007,9,0,602.1984127488679
-1,3007,17,1,604.1984127488679
1,3010,11,0,609.2473273257849
-1,3007,11,0,624.1984127488679
-1,3007,12,1,625.1984127488679
1,3010,13,0,631.2473273257849
-1,3007,12,0,635.1984127488679
1,3006,18,0,635.7216870827275
-1,3007,15,1,637.1984127488679
-1,3008,14,0,661.9750297713106
1,3008,6,1,666.6983141055755
-1,3007,15,0,667.1984127488679
1,3010,10,1,679.0694703113272
-1,3009,15,1,683.8511681693153
-1,3006,2,1,685.704861007712
1,3008,6,0,686.6983141055755
1,3008,12,1,687.6983141055755
-1,3007,17,0,688.1984127488679
-1,3009,13,1,689.6573516090224
-1,3009,13,0,699.6573516090224
-1,3009,17,1,701.6573516090224
-1,3006,2,0,705.704861007712
-1,3006,14,1,706.704861007712
-1,3010,8,0,709.0694703113272
-1,3010,14,1,711.0694703113272
-1,3010,15,1,711.0694703113272
1,3007,4,0,719.1984127488679
1,3007,6,1,721.1984127488679
-1,3009,15,0,721.6573516090224
-1,3009,18,1,722.6573516090224
1,3007,6,0,741.1984127488679
-1,3009,17,0,742.6573516090224
-1,3010,17,1,743.0818164828004
-1,3009,18,1,744.6573516090224
1,3008,12,0,747.6983141055755
-1,3009,18,0,754.6573516090224
-1,3010,14,1,758.1318953266309
1,3007,8,0,762.1984127488679
1,3007,13,1,764.1984127488679
1,3007,18,1,764.1984127488679
1,3009,1,0,766.6573516090224
1,3009,8,1,768.6573516090224
-1,3010,14,0,771.0694703113272
1,3008,14,1,772.813481164028
-1,3010,18,1,773.0694703113272
-1,3010,15,0,783.0694703113272
1,3008,14,0,792.813481164028
-1,3006,12,1,793.1594882755071
1,3008,17,1,793.813481164028
-1,3008,9,1,796.094670595649
1,3008,15,1,798.0209775723755
-1,3010,17,0,804.0694703113272
1,3008,15,0,808.0209775723755
1,3008,17,1,809.0209775723755
-1,3006,12,0,813.1594882755071
-1,3010,18,0,814.0694703113272
-1,3006,14,1,814.1594882755071
1,3007,13,0,814.1984127488679
1,3008,17,0,829.0209775723755
1,3007,17,1,831.0696575321195
-1,3006,14,0,834.1594882755071
1,3009,8,0,838.6573516090224
-1,3006,14,1,838.8981247901233
-1,3006,14,0,838.8981247901233
-1,3006,18,1,840.8981247901233
1,3010,4,1,853.2740553399815
1,3009,9,1,861.0645717266448
1,3007,17,0,861.0696575321195
-1,3006,17,1,861.6633124569735
1,3007,18,1,862.0696575321195
1,3010,4,0,863.2740553399815
1,3010,12,1,864.2740553399815
1,3009,9,0,871.0645717266448
-1,3006,17,0,871.6633124569735
1,3007,18,0,872.0696575321195
-1,3006,18,1,872.6633124569735
1,3009,16,1,873.0645717266448
-1,3006,18,0,882.6633124569735
1,3010,7,1,889.2831354936544
1,3010,7,0,899.2831354936544
1,3010,11,1,901.2831354936544
1,3010,8,1,904.6897708281425
-1,3008,9,0,911.0209775723755
-1,3008,15,1,913.0209775723755
1,3010,8,0,914.6897708281425
1,3010,11,1,915.6897708281425
1,3006,6,1,930.9010325739282
1,3006,8,1,934.2719121719889
1,3010,10,0,935.6897708281425
1,3010,16,1,937.6897708281425
1,3010,17,1,937.6897708281425
1,3009,16,0,943.0645717266448
1,3009,1,1,946.5285113699399
1,3010,11,0,947.6897708281425
1,3010,14,1,952.7273385904318
1,3010,12,0,959.6897708281425
-1,3007,3,1,966.255759722595
-1,3008,15,0,973.0209775723755
1,3010,16,1,977.6862068591793
1,3010,14,0,980.6897708281425
1,3010,15,1,981.6897708281425
-1,3007,6,1,988.3342786376986
1,3006,6,0,990.9010325739282
1,3010,15,0,991.6897708281425
1,3006,7,1,992.9010325739282
-1,3007,4,1,995.8334596795926
-1,3007,3,0,996.255759722595
-1,3007,14,1,998.255759722595
1,3010,16,0,1002.6897708281425
1,3006,7,0,1002.9010325739282
1,3010,17,1,1005.6897708281425
-1,3007,4,0,1008.255759722595
-1,3007,14,1,1010.255759722595
1,3006,8,0,1013.9010325739282
1,3010,17,0,1015.6897708281425
1,3006,12,1,1021.9010325739282
1,3006,15,1,1021.9010325739282
1,3006,10,1,1021.9010325739282
1,3006,15,1,1021.9010325739282
-1,3007,7,1,1023.228947921927
1,3010,15,1,1024.9076548620146
-1,3008,15,1,1029.9383178113776
-1,3008,15,0,1029.9383178113776
-1,3007,6,0,1030.255759722595
-1,3008,18,1,1031.9383178113776
-1,3007,11,1,1032.255759722595
1,3006,11,1,1035.0624513120513
1,3006,10,0,1041.9010325739282
-1,3007,7,0,1042.255759722595
-1,3007,14,1,1043.255759722595
-1,3010,3,0,1044.9076548620146
1,3010,15,0,1044.9076548620146
1,3006,11,0,1052.9010325739282
1,3006,14,1,1053.9010325739282
-1,3010,3,1,1055.0946814381277
-1,3010,3,0,1055.0946814381277
-1,3010,14,1,1056.0946814381277
-1,3008,18,0,1061.9383178113776
1,3006,12,0,1063.9010325739282
1,3008,4,1,1065.5869631921428
-1,3006,3,1,1072.847819429992
-1,3007,11,0,1083.255759722595
1,3006,14,0,1084.9010325739282
1,3008,11,1,1090.1973613258392
1,3006,15,0,1095.9010325739282
-1,3009,17,0,1096.52851136994
1,3009,1,0,1096.52851136994
-1,3010,8,1,1097.4666052574694
1,3006,16,1,1098.9010325739282
1,3008,4,0,1105.5869631921428
-1,3010,8,0,1107.4666052574694
1,3008,6,1,1107.5869631921428
1,3006,16,0,1108.9010325739282
-1,3007,15,1,1109.2398494326965
-1,3010,13,1,1109.4666052574694
-1,3009,2,1,1110.720234142997
-1,3007,14,0,1114.255759722595
-1,3006,3,0,1119.9010325739282
-1,3006,15,1,1120.9010325739282
-1,3006,6,1,1122.9072301424235
-1,3007,15,0,1127.255759722595
1,3008,6,0,1127.5869631921428
-1,3007,17,1,1128.255759722595
1,3009,4,1,1139.5168876068344
-1,3007,17,0,1148.255759722595
1,3009,4,0,1149.5168876068344
1,3009,9,1,1151.5168876068344
-1,3006,6,0,1152.9072301424235
-1,3006,15,1,1153.9072301424235
-1,3010,13,0,1159.4666052574694
-1,3010,14,0,1170.4666052574694
-1,3010,14,1,1175.584853466588
-1,3010,14,0,1175.584853466588
-1,3010,15,1,1176.584853466588
1,3008,11,0,1178.5869631921428
1,3008,16,1,1179.5869631921428
1,3008,12,1,1186.2803986503
-1,3010,15,0,1186.584853466588
1,3008,12,0,1196.2803986503
1,3008,16,1,1198.2803986503
-1,3010,8,1,1198.8730405805477
1,3009,9,0,1201.5168876068344
1,3010,6,1,1201.7935832232088
1,3010,6,0,1231.7935832232088
1,3010,14,1,1233.7935832232088
1,3008,16,0,1238.2803986503
-1,3006,15,0,1243.9072301424235
-1,3008,3,1,1254.9884170972778
-1,3008,4,1,1260.874680152516
-1,3006,14,1,1264.3551295825534
-1,3008,3,0,1264.9884170972778
-1,3008,18,1,1266.9884170972778
-1,3008,9,1,1266.9884170972778
1,3009,16,0,1272.5168876068344
-1,3009,2,0,1272.5168876068344
1,3006,4,0,1274.3551295825534
-1,3006,14,0,1274.3551295825534
1,3006,10,1,1276.3339705913102
-1,3008,4,0,1276.9884170972778
-1,3008,12,1,1277.9884170972778
-1,3008,7,1,1281.337602936333
-1,3008,7,0,1311.337602936333
-1,3008,15,1,1312.337602936333
1,3010,14,0,1313.7935832232088
-1,3007,13,1,1316.9734021700897
-1,3008,9,0,1332.337602936333
-1,3008,15,1,1334.337602936333
-1,3008,14,1,1334.337602936333
1,3006,10,0,1336.3339705913102
1,3006,12,1,1337.3339705913102
1,3007,4,1,1338.7645321110074
1,3009,15,1,1340.7871803165285
-1,3010,9,1,1343.1850718240917
1,3007,5,1,1347.3257667273451
1,3007,4,0,1348.7645321110074
1,3007,5,1,1350.7645321110074
-1,3009,3,0,1350.7871803165285
1,3009,15,0,1350.7871803165285
-1,3010,8,0,1354.7935832232088
-1,3009,6,1,1356.0103309182725
1,3006,12,0,1357.3339705913102
-1,3010,13,1,1358.7935832232088
-1,3010,14,1,1358.7935832232088
1,3007,5,0,1360.7645321110074
1,3007,9,1,1362.7645321110074
-1,3008,12,0,1364.337602936333
-1,3010,11,1,1365.7219677734688
-1,3010,9,0,1368.7935832232088
-1,3010,14,1,1369.7935832232088
1,3006,6,1,1377.8387032214277
1,3007,9,1,1378.4423305066496
-1,3008,14,0,1385.337602936333
-1,3009,6,0,1386.0103309182725
-1,3008,18,1,1387.337602936333
-1,3009,10,1,1388.0103309182725
1,3007,8,1,1388.502721681918
-1,3010,11,0,1389.7935832232088
-1,3010,18,1,1391.7935832232088
-1,3008,15,0,1397.337602936333
1,3007,8,0,1398.502721681918
1,3007,18,1,1399.502721681918
-1,3006,12,1,1407.07072985637
-1,3007,6,1,1407.648599231429
1,3007,9,0,1409.502721681918
1,3007,16,1,1411.502721681918
-1,3010,13,0,1411.7935832232088
-1,3010,18,1,1413.7935832232088
-1,3010,14,0,1423.7935832232088
-1,3009,10,0,1428.0103309182725
-1,3008,18,0,1429.337602936333
-1,3008,8,1,1435.8182978982093
-1,3009,11,1,1437.0103309182725
-1,3009,15,1,1437.0103309182725
-1,3009,15,1,1437.0103309182725
-1,3009,15,1,1437.0103309182725
-1,3009,18,1,1437.0103309182725
-1,3009,17,1,1437.0103309182725
-1,3009,18,1,1437.0103309182725
-1,3009,11,1,1437.0103309182725
-1,3006,12,0,1437.8387032214277
-1,3006,14,1,1438.8387032214277
-1,3009,11,0,1447.0103309182725
-1,3006,14,0,1458.8387032214277
-1,3010,18,0,1465.7935832232088
-1,3010,9,1,1478.7437051972786
1,3006,6,0,1479.8387032214277
1,3007,16,0,1481.502721681918
1,3006,18,1,1481.8387032214277
-1,3009,15,0,1489.0103309182725
1,3007,18,0,1502.502721681918
1,3008,8,1,1504.4242918760929
-1,3009,17,0,1512.0103309182725
-1,3009,18,0,1523.0103309182725
1,3008,8,0,1524.4242918760929
1,3008,9,1,1526.4242918760929
1,3008,9,0,1536.4242918760929
1,3008,10,0,1547.4242918760929
-1,3008,8,0,1547.4242918760929
1,3006,14,1,1554.6263565631484
-1,3007,6,0,1563.502721681918
1,3006,14,0,1564.6263565631484
-1,3007,7,1,1565.502721681918
1,3006,17,1,1565.6263565631484
1,3010,9,0,1568.7437051972786
-1,3010,9,0,1568.7437051972786
1,3010,5,1,1569.3657229937126
1,3008,13,1,1573.9929211852732
-1,3007,7,0,1575.502721681918
-1,3009,3,1,1577.0908393053173
1,3006,17,0,1595.6263565631484
1,3008,13,0,1603.9929211852732
1,3008,16,1,1605.9929211852732
-1,3007,12,1,1606.5273741320682
1,3006,18,0,1606.6263565631484
-1,3010,13,0,1609.3657229937126
1,3010,5,0,1609.3657229937126
1,3006,16,1,1622.527778047437
-1,3007,12,0,1626.5273741320682
-1,3007,18,1,1627.5273741320682
-1,3010,17,1,1634.344967647674
1,3008,16,0,1635.9929211852732
-1,3007,13,0,1637.5273741320682
1,3008,18,1,1637.9929211852732
-1,3006,2,0,1642.527778047437
-1,3006,4,1,1646.527778047437
-1,3006,9,1,1646.527778047437
-1,3006,3,1,1646.527778047437
-1,3006,4,1,1646.527778047437
-1,3006,11,1,1649.7816773119737
-1,3006,3,0,1656.527778047437
1,3008,18,0,1657.9929211852732
-1,3006,15,1,1659.527778047437
-1,3006,4,0,1669.527778047437
-1,3010,17,0,1674.344967647674
-1,3010,18,1,1675.344967647674
-1,3008,4,1,1682.947454059361
1,3009,11,1,1685.1826923115702
-1,3010,18,0,1685.344967647674
-1,3007,18,0,1687.5273741320682
1,3009,11,0,1695.1826923115702
1,3009,17,1,1697.1826923115702
-1,3006,9,0,1721.527778047437
-1,3008,4,0,1722.947454059361
-1,3008,15,1,1723.947454059361
-1,3006,18,1,1724.527778047437
1,3007,7,1,1735.0286911205408
-1,3008,6,1,1740.4170465363825
-1,3006,11,0,1744.527778047437
-1,3006,14,1,1745.527778047437
-1,3008,6,0,1750.4170465363825
-1,3008,8,1,1751.4170465363825
1,3009,17,0,1757.1826923115702
-1,3009,3,1,1764.3676362257684
-1,3008,8,0,1771.4170465363825
-1,3006,14,0,1775.527778047437
-1,3008,14,1,1776.4170465363825
-1,3008,15,1,1776.4170465363825
-1,3009,3,0,1778.1826923115702
-1,3009,14,1,1780.1826923115702
-1,3006,15,0,1786.527778047437
-1,3008,13,1,1792.64121267448
-1,3010,15,1,1797.3533859918018
1,3007,7,0,1805.0286911205408
1,3007,15,1,1807.0286911205408
-1,3007,2,1,1814.7264630465259
-1,3006,18,0,1817.527778047437
1,3010,3,0,1827.3533859918018
-1,3008,13,0,1832.64121267448
-1,3008,15,1,1836.64121267448
-1,3008,18,1,1836.64121267448
-1,3008,17,1,1842.0030169023225
-1,3008,14,0,1846.64121267448
1,3010,12,1,1853.3533859918018
1,3010,16,1,1853.3533859918018
1,3010,14,1,1853.3533859918018
1,3010,14,1,1853.3533859918018
1,3010,9,1,1853.3533859918018
1,3010,11,1,1853.3533859918018
1,3010,4,1,1853.3533859918018
1,3010,14,1,1853.3533859918018
1,3010,18,1,1853.3533859918018
1,3010,14,1,1853.3533859918018
1,3010,6,1,1853.3533859918018
1,3010,10,1,1853.3533859918018
1,3010,18,1,1853.3533859918018
1,3010,7,1,1853.3533859918018
-1,3008,15,0,1857.64121267448
-1,3007,9,1,1860.957491054137
-1,3008,17,1,1862.64121267448
1,3010,4,0,1863.3533859918018
-1,3007,7,1,1870.8927698684245
-1,3009,14,1,1875.8998725746756
-1,3008,17,0,1882.64121267448
1,3010,6,0,1884.3533859918018
-1,3008,18,1,1885.64121267448
1,3007,15,0,1887.0286911205408
-1,3009,14,0,1890.1826923115702
1,3007,18,1,1892.0286911205408
1,3007,17,1,1892.0286911205408
-1,3009,17,1,1892.1826923115702
1,3010,7,0,1895.3533859918018
-1,3008,18,0,1895.64121267448
1,3010,8,1,1896.3533859918018
1,3006,8,1,1896.5117471884441
1,3006,9,1,1903.926067899263
1,3010,8,0,1906.3533859918018
1,3006,8,0,1906.5117471884441
1,3006,16,1,1908.5117471884441
1,3007,17,0,1912.0286911205408
1,3008,6,1,1913.2560751905273
-1,3007,14,1,1913.7361144603535
1,3006,9,0,1918.5117471884441
1,3006,15,1,1919.5117471884441
-1,3009,17,0,1922.1826923115702
1,3007,18,0,1923.0286911205408
-1,3007,2,0,1944.0286911205408
1,3008,7,1,1944.3574365344934
-1,3007,7,1,1946.0286911205408
-1,3007,6,1,1949.4680113280444
-1,3009,15,1,1958.3398804321446
1,3008,6,0,1973.2560751905273
1,3008,7,1,1975.2560751905273
1,3009,3,0,1978.3398804321446
-1,3009,15,0,1978.3398804321446
1,3006,15,0,1979.5117471884441
1,3008,7,0,1985.2560751905273
1,3008,18,1,1988.2560751905273
-1,3007,6,0,1989.4680113280444
1,3006,16,0,1990.5117471884441
-1,3007,10,1,1991.4680113280444
