,Location,NumFloor,Elevator Amount,Waiting_Time,Journey_Time
107,南棟客梯,18,5,138.6849691491609,215.28214002833576
108,南棟客梯,18,5,139.63961978641964,194.85457305744768
109,南棟客梯,18,5,85.88362888713017,128.3219213052832
110,南棟客梯,18,5,127.28897914104479,197.62768881846412
111,南棟客梯,18,5,111.22663661092467,166.2891366109247
112,南棟客梯,18,5,157.4283678361584,220.30161287211897
113,南棟客梯,18,5,94.80654407640249,140.1330746886474
114,南棟客梯,18,5,164.8504421197993,225.95820059431938
115,南棟客梯,18,5,164.23560999837147,237.99719073541786
116,南棟客梯,18,5,140.6544050247706,209.1256660394481
117,南棟客梯,18,5,150.4366798301204,227.0026405646125
118,南棟客梯,18,5,147.34324841818258,212.15523275915615
119,南棟客梯,18,5,185.20742480443928,259.946275368501
120,南棟客梯,18,5,123.50172266117922,181.69649855619082
