action,direction,floor,name,riderNumAfter,time
1,-1.0,4,a0,,864.9741293668999
1,-1.0,5,a1,,873.8628090675242
2,-1.0,5,a1,0.0,874.8628090675242
1,-1.0,3,a0,,874.9741293668999
2,-1.0,3,a0,2.0,877.9741293668999
1,1.0,6,a1,,884.8628090675242
2,1.0,6,a1,1.0,886.8628090675242
1,-1.0,2,a0,,887.9741293668999
2,-1.0,2,a0,0.0,889.9741293668999
1,1.0,7,a1,,896.8628090675242
1,-1.0,1,a0,,899.9741293668999
2,-1.0,1,a0,1.0,901.9741293668999
1,1.0,8,a1,,906.8628090675242
1,-1.0,B1,a0,,911.9741293668999
1,1.0,9,a1,,916.8628090675242
2,1.0,9,a1,0.0,917.8628090675242
1,-1.0,B2,a0,,921.9741293668999
1,-1.0,8,a1,,927.8628090675242
1,-1.0,B3,a0,,931.9741293668999
1,-1.0,7,a1,,937.8628090675242
1,-1.0,B4,a0,,941.9741293668999
1,-1.0,6,a1,,947.8628090675242
1,1.0,B3,a0,,952.9741293668999
1,1.0,11,a2,,956.2817115614228
2,1.0,11,a2,0.0,956.2817115614228
2,-1.0,11,a2,1.0,957.2817115614228
1,-1.0,5,a1,,957.8628090675242
2,-1.0,5,a1,0.0,957.8628090675242
1,1.0,B2,a0,,962.9741293668999
1,-1.0,10,a2,,967.2817115614228
1,1.0,6,a1,,967.8628090675242
2,-1.0,10,a2,0.0,968.2817115614228
0,,10,a2,,968.2817115614228
1,1.0,B1,a0,,972.9741293668999
2,1.0,B1,a0,1.0,974.9741293668999
1,1.0,7,a1,,977.8628090675242
1,1.0,1,a0,,984.9741293668999
1,1.0,8,a1,,987.8628090675242
2,1.0,1,a0,1.0,987.9741293668999
1,1.0,9,a1,,997.8628090675242
1,1.0,2,a0,,997.9741293668999
2,1.0,9,a1,1.0,998.8628090675242
1,1.0,3,a0,,1007.9741293668999
1,1.0,10,a1,,1008.8628090675242
2,1.0,10,a1,0.0,1009.8628090675242
2,1.0,3,a0,1.0,1010.9741293668999
2,-1.0,10,a1,1.0,1011.8628090675242
2,1.0,10,a2,5.0,1016.8628090675242
1,1.0,4,a0,,1020.9741293668999
1,-1.0,9,a1,,1021.8628090675242
1,1.0,11,a2,,1026.8628090675243
1,1.0,5,a0,,1030.9741293669
1,-1.0,8,a1,,1031.8628090675243
2,1.0,11,a2,0.0,1031.8628090675243
2,1.0,5,a0,0.0,1031.9741293669
1,-1.0,7,a1,,1041.8628090675243
1,1.0,12,a2,,1041.8628090675243
1,-1.0,4,a0,,1041.9741293669
2,1.0,12,a2,1.0,1042.8628090675243
2,-1.0,4,a0,1.0,1043.9741293669
1,-1.0,6,a1,,1051.8628090675243
1,1.0,13,a2,,1052.8628090675243
2,1.0,13,a2,0.0,1053.8628090675243
1,-1.0,3,a0,,1053.9741293669
2,-1.0,3,a0,0.0,1054.9741293669
1,-1.0,5,a1,,1061.8628090675243
2,-1.0,5,a1,0.0,1062.8628090675243
1,1.0,14,a2,,1063.8628090675243
2,1.0,14,a2,0.0,1063.8628090675243
1,-1.0,2,a0,,1064.9741293669
1,1.0,6,a1,,1072.8628090675243
2,-1.0,14,a2,1.0,1073.915912839382
1,-1.0,1,a0,,1074.9741293669
1,1.0,7,a1,,1082.8628090675243
2,1.0,7,a1,1.0,1083.8628090675243
1,-1.0,B1,a0,,1084.9741293669
1,-1.0,13,a2,,1086.0330161237973
2,-1.0,13,a2,1.0,1088.0330161237973
1,1.0,8,a1,,1093.8628090675243
1,-1.0,B2,a0,,1094.9741293669
1,-1.0,12,a2,,1098.0330161237973
1,1.0,9,a1,,1103.8628090675243
1,-1.0,B3,a0,,1104.9741293669
1,-1.0,11,a2,,1108.0330161237973
2,-1.0,B3,a0,1.0,1108.8815841364922
2,-1.0,11,a2,1.0,1110.0330161237973
1,1.0,10,a1,,1113.8628090675243
2,1.0,10,a1,0.0,1114.8628090675243
1,-1.0,B4,a0,,1118.8815841364922
1,-1.0,10,a2,,1120.0330161237973
2,-1.0,10,a2,0.0,1121.0330161237973
0,,10,a2,,1121.0330161237973
2,1.0,B4,a0,2.0,1121.8815841364922
2,-1.0,10,a1,2.0,1124.0330161237973
1,1.0,B3,a0,,1131.8815841364922
1,-1.0,9,a1,,1134.0330161237973
1,1.0,B2,a0,,1141.8815841364922
1,-1.0,8,a1,,1144.0330161237973
1,1.0,B1,a0,,1151.8815841364922
1,-1.0,7,a1,,1154.0330161237973
2,1.0,B1,a0,2.0,1157.8815841364922
1,-1.0,6,a1,,1164.0330161237973
1,1.0,1,a0,,1167.8815841364922
2,1.0,1,a0,2.0,1172.8815841364922
1,-1.0,5,a1,,1174.0330161237973
2,-1.0,5,a1,0.0,1176.0330161237973
1,1.0,2,a0,,1182.8815841364922
1,1.0,6,a1,,1186.0330161237973
1,1.0,3,a0,,1192.8815841364922
1,1.0,7,a1,,1196.0330161237973
1,1.0,4,a0,,1202.8815841364922
1,1.0,8,a1,,1208.0563451179682
1,1.0,5,a0,,1212.8815841364922
2,1.0,5,a0,0.0,1214.8815841364922
1,1.0,9,a1,,1218.0563451179682
2,1.0,9,a1,1.0,1219.0563451179682
1,-1.0,4,a0,,1224.8815841364922
2,-1.0,4,a0,1.0,1226.8815841364922
2,-1.0,10,a2,0.0,1229.053079863817
0,,10,a2,,1229.053079863817
1,1.0,10,a1,,1229.0563451179682
2,1.0,10,a1,0.0,1230.0563451179682
2,1.0,10,a2,2.0,1234.0563451179682
1,-1.0,3,a0,,1236.8815841364922
2,-1.0,3,a0,1.0,1239.8815841364922
1,-1.0,9,a1,,1240.0563451179682
2,-1.0,9,a1,1.0,1242.0563451179682
1,1.0,11,a2,,1244.0563451179682
1,-1.0,2,a0,,1249.8815841364922
1,-1.0,8,a1,,1252.0563451179682
1,1.0,12,a2,,1254.0563451179682
2,-1.0,8,a1,1.0,1255.0563451179682
1,1.0,13,a2,,1264.0563451179682
1,-1.0,7,a1,,1265.0563451179682
1,-1.0,1,a0,,1269.0464435217293
2,-1.0,1,a0,1.0,1271.0464435217293
1,1.0,14,a2,,1274.0563451179682
1,-1.0,6,a1,,1275.0563451179682
2,1.0,14,a2,0.0,1276.0563451179682
2,-1.0,6,a1,2.0,1279.0563451179682
1,-1.0,B1,a0,,1281.0464435217293
2,-1.0,B1,a0,1.0,1284.0464435217293
1,1.0,15,a2,,1286.0563451179682
0,,15,a2,,1286.0563451179682
1,-1.0,5,a1,,1289.0563451179682
2,-1.0,5,a1,0.0,1291.0563451179682
1,-1.0,B2,a0,,1294.0464435217293
1,1.0,6,a1,,1301.0563451179682
1,-1.0,B3,a0,,1304.0464435217293
1,-1.0,14,a2,,1305.6196309229354
2,-1.0,B3,a0,1.0,1306.0464435217293
1,1.0,7,a1,,1311.0563451179682
2,1.0,7,a1,1.0,1313.0563451179682
1,-1.0,13,a2,,1315.6196309229354
1,-1.0,B4,a0,,1316.0464435217293
2,-1.0,13,a2,1.0,1317.6196309229354
2,1.0,B4,a0,1.0,1319.0464435217293
1,1.0,8,a1,,1323.0563451179682
2,1.0,8,a1,1.0,1326.0563451179682
1,-1.0,12,a2,,1327.6196309229354
1,1.0,B3,a0,,1329.0464435217293
2,-1.0,12,a2,1.0,1330.6196309229354
1,1.0,9,a1,,1336.0563451179682
1,1.0,B2,a0,,1339.0464435217293
1,-1.0,11,a2,,1340.6196309229354
2,-1.0,11,a2,1.0,1343.6196309229354
1,1.0,10,a1,,1346.0563451179682
2,1.0,10,a1,0.0,1347.0563451179682
1,1.0,B1,a0,,1349.0464435217293
2,1.0,B1,a0,0.0,1350.0464435217293
1,-1.0,10,a2,,1353.6196309229354
2,-1.0,10,a2,0.0,1354.6196309229354
1,-1.0,9,a1,,1357.0563451179682
1,1.0,1,a0,,1360.0464435217293
1,1.0,11,a2,,1364.6196309229354
1,-1.0,8,a1,,1367.0563451179682
1,1.0,2,a0,,1370.0464435217293
1,1.0,12,a2,,1374.6196309229354
1,-1.0,7,a1,,1377.0563451179682
1,1.0,3,a0,,1380.0464435217293
1,1.0,13,a2,,1384.6196309229354
1,-1.0,6,a1,,1387.0563451179682
1,1.0,4,a0,,1390.0464435217293
2,1.0,4,a0,1.0,1391.0464435217293
1,1.0,14,a2,,1394.6196309229354
2,1.0,4,a0,1.0,1396.5070866264887
2,1.0,14,a2,1.0,1396.6196309229354
1,-1.0,5,a1,,1397.0563451179682
2,-1.0,5,a1,0.0,1397.0563451179682
1,1.0,5,a0,,1406.5070866264887
1,1.0,15,a2,,1406.6196309229354
1,1.0,6,a1,,1407.0563451179682
2,1.0,5,a0,0.0,1407.5070866264887
1,1.0,7,a1,,1417.0563451179682
1,-1.0,4,a0,,1417.5070866264887
1,-1.0,14,a2,,1417.6196309229354
2,-1.0,4,a0,1.0,1419.5070866264887
2,1.0,7,a1,1.0,1426.7535904393703
1,-1.0,13,a2,,1427.6196309229354
1,-1.0,3,a0,,1429.5070866264887
2,-1.0,3,a0,1.0,1431.5070866264887
1,1.0,8,a1,,1436.7535904393703
1,-1.0,12,a2,,1437.6196309229354
2,1.0,8,a1,0.0,1437.7535904393703
1,-1.0,2,a0,,1441.5070866264887
1,-1.0,11,a2,,1447.6196309229354
1,1.0,9,a1,,1447.7535904393703
1,-1.0,1,a0,,1451.5070866264887
1,-1.0,10,a2,,1457.6196309229354
2,-1.0,10,a2,0.0,1457.6196309229354
1,1.0,10,a1,,1457.7535904393703
2,1.0,10,a1,0.0,1457.7535904393703
1,-1.0,B1,a0,,1461.5070866264887
2,-1.0,B1,a0,0.0,1462.5070866264887
1,1.0,11,a2,,1467.6196309229354
1,-1.0,9,a1,,1467.7535904393703
2,1.0,11,a2,1.0,1469.6196309229354
1,-1.0,B2,a0,,1472.5070866264887
1,-1.0,8,a1,,1477.7535904393703
1,1.0,12,a2,,1479.6196309229354
2,-1.0,8,a1,1.0,1479.7535904393703
2,1.0,12,a2,0.0,1480.6196309229354
0,,12,a2,,1480.6196309229354
1,-1.0,B3,a0,,1482.5070866264887
1,-1.0,7,a1,,1489.7535904393703
1,-1.0,B4,a0,,1492.5070866264887
2,1.0,B4,a0,1.0,1494.5070866264887
1,-1.0,6,a1,,1499.7535904393703
2,-1.0,6,a1,1.0,1501.7535904393703
2,1.0,12,a2,1.0,1503.63562824793
