,location,sep_1_floor,sep_2_floor,dataType,data
9,研究大樓,B3,13,journey_time,201.64626126045457
10,研究大樓,B3,13,count_floor,691.0
11,研究大樓,B3,13,count_stop,113.0
0,研究大樓,B3,14,waiting_time,1369.9129698902002
1,研究大樓,B3,14,journey_time,225.88515052587226
2,研究大樓,B3,14,count_floor,554.0
3,研究大樓,B3,14,count_stop,64.0
4,研究大樓,B3,14,waiting_time,1158.5860159827182
5,研究大樓,B3,14,journey_time,223.83249207029888
6,研究大樓,B3,14,count_floor,578.0
7,研究大樓,B3,14,count_stop,65.0
8,研究大樓,B3,14,waiting_time,1278.4486138635139
9,研究大樓,B3,14,journey_time,219.5110811591919
10,研究大樓,B3,14,count_floor,570.0
11,研究大樓,B3,14,count_stop,64.0
