action,direction,floorIndex,riderNumAfter,time
2,-1,15,0,2240.268910080198
1,-1,3,1,2250.334282047296
2,1,7,0,2256.196211389977
2,-1,13,0,2262.268910080198
2,1,13,3,2264.49500826271
1,1,3,1,2266.5233119273303
1,-1,15,1,2266.9545940169264
2,1,8,18,2267.196211389977
1,1,8,19,2267.196211389977
1,1,4,1,2268.0260133378642
1,-1,11,1,2270.7233538168844
2,-1,12,2,2273.268910080198
1,-1,12,3,2273.268910080198
2,-1,12,0,2277.268910080198
1,1,5,1,2279.7945920378734
1,-1,6,1,2283.1988994963963
2,-1,6,0,2285.1988994963963
1,-1,7,25,2285.9513878481807
1,-1,11,2,2288.8243048515874
2,-1,11,0,2293.268910080198
2,-1,11,0,2295.268910080198
1,1,0,1,2310.599187867157
1,1,1,1,2318.0528599185327
2,-1,3,0,2318.1988994963963
1,-1,8,1,2320.6470053680578
2,-1,2,0,2330.1988994963963
2,-1,8,0,2331.6470053680578
1,-1,16,1,2333.7365688281907
1,-1,11,1,2335.524408080522
2,-1,7,25,2342.6470053680578
1,-1,7,26,2342.6470053680578
1,1,13,4,2346.350462635244
2,-1,0,0,2351.1988994963963
1,-1,9,1,2356.6423095440323
1,-1,7,27,2356.986210459338
1,-1,14,2,2360.1602529230768
2,1,0,0,2363.1988994963963
2,1,17,0,2373.7365688281907
2,-1,16,0,2375.7365688281907
2,1,1,0,2376.1988994963963
1,1,8,20,2380.302359140489
1,1,1,1,2382.702017911746
2,1,1,0,2384.702017911746
1,1,8,21,2389.200735703971
2,1,13,4,2396.350462635244
1,-1,2,1,2396.933251287078
2,-1,14,0,2398.7365688281907
2,1,3,0,2406.702017911746
2,-1,11,0,2408.350462635244
2,1,4,0,2419.702017911746
2,-1,12,0,2420.7365688281907
1,-1,12,2,2420.7365688281907
2,-1,12,2,2420.7365688281907
2,-1,9,0,2431.350462635244
2,1,5,0,2431.702017911746
1,1,4,1,2440.182823621465
2,1,6,0,2442.702017911746
2,-1,7,27,2452.350462635244
1,-1,7,28,2452.350462635244
2,1,7,0,2452.702017911746
1,-1,14,1,2458.8658240934574
2,1,8,21,2462.702017911746
1,1,13,5,2462.8421384257485
1,1,6,1,2474.55922257173
1,1,3,1,2474.6892307586954
2,1,15,0,2478.8658240934574
2,-1,14,0,2479.8658240934574
1,-1,13,1,2482.3955227079496
1,-1,5,1,2483.561661660746
2,-1,7,8,2495.702017911746
