,name,action,riderNumAfter,floor,time,direction
306,3002,1.0,,2,674.8803403457148,1.0
307,3005,1.0,,B4,680.6400793414323,-1.0
308,3003,1.0,,B2,681.2057365248925,1.0
309,3005,0.0,0.0,B4,681.6400793414323,
310,3001,1.0,,3,684.80408888206,-1.0
311,3002,1.0,,3,684.8803403457148,1.0
312,3002,2.0,1.0,3,685.8803403457148,1.0
313,3003,1.0,,B1,691.2057365248925,1.0
314,3001,1.0,,2,694.80408888206,-1.0
315,3002,1.0,,4,695.8803403457148,1.0
316,3003,1.0,,1,701.2057365248925,1.0
317,3001,1.0,,1,704.80408888206,-1.0
318,3002,1.0,,5,705.8803403457148,1.0
319,3005,1.0,,B3,706.9741293668999,1.0
320,3002,2.0,2.0,5,707.8803403457148,1.0
321,3003,1.0,,2,711.2057365248925,1.0
322,3001,1.0,,B1,714.80408888206,-1.0
323,3005,1.0,,B2,716.9741293668999,1.0
324,3001,2.0,2.0,B1,717.80408888206,-1.0
325,3002,1.0,,6,717.8803403457148,1.0
326,3003,1.0,,3,721.2057365248925,1.0
327,3005,1.0,,B1,726.9741293668999,1.0
328,3001,1.0,,B2,727.80408888206,-1.0
329,3002,1.0,,7,727.8803403457148,1.0
330,3003,1.0,,4,731.2057365248925,1.0
331,3003,2.0,0.0,4,731.2057365248925,1.0
332,3004,1.0,,4,734.0299555148551,-1.0
333,3005,1.0,,1,736.9741293668999,1.0
334,3001,1.0,,B3,737.80408888206,-1.0
335,3002,1.0,,8,737.8803403457148,1.0
336,3001,2.0,1.0,B3,738.80408888206,-1.0
337,3003,1.0,,5,741.2057365248925,1.0
338,3004,1.0,,3,744.0299555148551,-1.0
339,3005,1.0,,2,746.9741293668999,1.0
340,3002,1.0,,9,747.8803403457148,1.0
341,3001,1.0,,B4,748.80408888206,-1.0
342,3001,0.0,0.0,B4,749.80408888206,
343,3003,1.0,,6,751.2057365248925,1.0
344,3004,1.0,,2,754.0299555148551,-1.0
345,3005,1.0,,3,756.9741293668999,1.0
346,3005,2.0,0.0,3,756.9741293668999,1.0
347,,,,3,756.9741293668999,-1.0
348,3005,0.0,0.0,3,756.9741293668999,
349,3002,1.0,,10,757.8803403457148,1.0
350,3002,2.0,2.0,10,760.8803403457148,1.0
351,3003,1.0,,7,761.2057365248925,1.0
352,3004,1.0,,1,764.0299555148551,-1.0
353,3004,2.0,0.0,1,764.0299555148551,-1.0
354,,,,1,764.0299555148551,1.0
355,3004,0.0,0.0,1,764.0299555148551,
356,3002,1.0,,11,770.8803403457148,1.0
357,3003,1.0,,8,771.2057365248925,1.0
358,3001,1.0,,B3,780.694276506005,1.0
359,3002,1.0,,12,780.8803403457148,1.0
360,3003,1.0,,9,781.2057365248925,1.0
361,3002,2.0,1.0,12,781.8803403457148,1.0
362,3001,1.0,,B2,790.694276506005,1.0
363,3003,1.0,,10,791.2057365248925,1.0
364,3002,1.0,,13,791.8803403457148,1.0
365,3004,1.0,,2,797.2841300241547,1.0
366,3001,1.0,,B1,800.694276506005,1.0
367,3003,1.0,,11,801.2057365248925,1.0
368,3003,2.0,0.0,11,801.2057365248925,1.0
369,,,,11,801.2057365248925,-1.0
370,3002,1.0,,14,801.8803403457148,1.0
371,3002,2.0,0.0,14,802.8803403457148,1.0
372,3004,1.0,,3,807.2841300241547,1.0
373,3001,1.0,,1,810.694276506005,1.0
374,3003,1.0,,10,811.2057365248925,-1.0
375,3002,1.0,,13,812.8803403457148,-1.0
376,3004,1.0,,4,817.2841300241547,1.0
377,3001,1.0,,2,820.694276506005,1.0
378,3003,1.0,,9,821.2057365248925,-1.0
379,3002,1.0,,12,822.8803403457148,-1.0
380,3003,2.0,2.0,9,823.2057365248925,-1.0
381,3004,2.0,1.0,4,826.598050313344,1.0
382,3001,1.0,,3,830.694276506005,1.0
383,3002,1.0,,11,832.8803403457148,-1.0
384,3003,1.0,,8,833.2057365248925,-1.0
385,3004,1.0,,5,836.598050313344,1.0
386,3001,1.0,,4,840.694276506005,1.0
387,3002,1.0,,10,842.8803403457148,-1.0
388,3003,1.0,,7,843.2057365248925,-1.0
389,3004,1.0,,6,846.598050313344,1.0
390,3001,1.0,,5,850.694276506005,1.0
391,3002,1.0,,9,852.8803403457148,-1.0
392,3003,1.0,,6,853.2057365248925,-1.0
393,3004,1.0,,7,856.598050313344,1.0
394,3004,2.0,0.0,7,857.598050313344,1.0
395,3001,1.0,,6,860.694276506005,1.0
396,3002,1.0,,8,862.8803403457148,-1.0
397,3003,1.0,,5,863.2057365248925,-1.0
398,3004,1.0,,8,867.598050313344,1.0
399,3001,1.0,,7,870.694276506005,1.0
400,3002,1.0,,7,872.8803403457148,-1.0
401,3003,1.0,,4,873.2057365248925,-1.0
402,3004,1.0,,9,877.598050313344,1.0
403,3001,1.0,,8,880.694276506005,1.0
404,3001,2.0,0.0,8,880.694276506005,1.0
405,,,,8,880.694276506005,-1.0
406,3001,0.0,0.0,8,880.694276506005,
407,3002,1.0,,6,882.8803403457148,-1.0
408,3003,1.0,,3,883.2057365248925,-1.0
409,3004,1.0,,10,887.598050313344,1.0
410,3004,2.0,0.0,10,887.598050313344,1.0
411,,,,10,887.598050313344,-1.0
412,3004,0.0,0.0,10,887.598050313344,
413,3002,1.0,,5,892.8803403457148,-1.0
414,3003,1.0,,2,893.2057365248925,-1.0
415,3002,1.0,,4,902.8803403457148,-1.0
416,3003,1.0,,1,903.2057365248925,-1.0
417,3003,2.0,2.0,1,906.2057365248925,-1.0
418,3002,1.0,,3,912.8803403457148,-1.0
419,3003,1.0,,B1,916.2057365248925,-1.0
420,3003,2.0,0.0,B1,918.2057365248925,-1.0
421,3003,0.0,0.0,B1,918.2057365248925,
422,3002,1.0,,2,922.8803403457148,-1.0
423,3002,1.0,,1,932.8803403457148,-1.0
424,3002,2.0,0.0,1,932.8803403457148,-1.0
425,3001,1.0,,7,935.3283300330485,-1.0
426,3002,1.0,,2,942.8803403457148,1.0
427,3001,1.0,,6,945.3283300330485,-1.0
428,3002,1.0,,3,954.7193491474659,1.0
429,3001,1.0,,5,955.3283300330485,-1.0
430,3002,2.0,1.0,3,956.7193491474659,1.0
431,3001,1.0,,4,965.3283300330485,-1.0
432,3002,1.0,,4,966.7193491474659,1.0
433,3001,1.0,,3,975.3283300330485,-1.0
434,3002,1.0,,5,976.7193491474659,1.0
435,3001,1.0,,2,985.3283300330485,-1.0
436,3002,1.0,,6,986.7193491474659,1.0
437,3002,2.0,1.0,6,988.7193491474659,1.0
438,3001,1.0,,1,995.3283300330485,-1.0
439,3002,1.0,,7,998.7193491474659,1.0
