cid,pass_by,appear_time,destination,boarding_time,get_off_time,total_waiting_time,time_in_elev,journey_time,transfer_num,isSuccessful
24,"['7', '8', '9']",331.8106724984027,9,"[373.76717169766084, 399.7790584687766]","[379.76717169766084, 405.7790584687766]",61.9683859703739,12.0,73.9683859703739,1,True
25,"['3', '1', 'B4']",333.01674038203413,B4,"[376.5048830357381, 501.4746992736147]","[386.5048830357381, 528.4746992736148]",158.45795889158057,37.00000000000006,195.45795889158063,1,True
26,"['5', '7']",335.60436422656227,7,[357.76717169766084],[369.76717169766084],22.162807471098574,12.0,34.162807471098574,0,True
27,"['3', '4']",343.69879664568356,4,[766.6115389852015],[775.6115389852015],422.91274233951793,9.0,431.91274233951793,0,True
28,"['11', '5', '1']",357.7790584687766,1,"[428.76717169766084, 471.4746992736147]","[458.76717169766084, 495.4746992736147]",83.69564080483809,54.0,137.6956408048381,1,True
29,"['1', 'B4']",361.4746992736147,B4,[382.4746992736147],[405.4746992736147],21.0,23.0,44.0,0,True
30,"['4', '1']",366.5048830357381,1,[368.5048830357381],[386.5048830357381],2.0,18.0,20.0,0,True
31,"['1', '5']",373.90540688208193,5,[437.4746992736147],[463.4746992736147],63.56929239153277,26.0,89.56929239153277,0,True
32,"['B4', '1', '2']",374.12739081521966,2,"[408.4746992736147, 442.4746992736147]","[432.4746992736147, 448.4746992736147]",44.34730845839505,30.0,74.34730845839505,1,True
33,"['B1', '1', '5', '11']",396.1634281942406,11,"[424.4746992736147, 440.4746992736147, 471.4746992736147]","[432.4746992736147, 463.4746992736147, 504.61733832365616]",44.31127107937408,64.14263905004145,108.45391012941553,2,True
