elevIndex,direction,floorIndex,latterStatus,time
a3,1,1,1,4357.142727861393
a3,1,1,0,4358.142727861393
a0,-1,18,0,4358.230891864681
a3,1,1,1,4364.142727861393
a2,-1,3,1,4364.731586215811
a3,1,1,0,4365.142727861393
a3,1,1,1,4371.142727861393
a2,1,14,0,4371.33832753812
a3,1,1,0,4372.142727861393
a1,-1,14,0,4374.33832753812
a3,1,1,1,4378.142727861393
a2,1,15,0,4378.33832753812
a3,1,1,0,4379.142727861393
a0,-1,14,1,4382.741946156786
a3,1,1,1,4385.142727861393
a3,1,1,0,4386.142727861393
a2,1,16,0,4386.33832753812
a0,1,3,1,4389.342220184047
a3,1,1,1,4392.142727861393
a2,1,8,1,4392.845647252668
a3,1,1,0,4393.142727861393
a2,-1,3,0,4395.33832753812
a0,-1,14,1,4395.660502421813
a0,1,3,0,4398.342220184047
a3,1,1,1,4399.142727861393
a2,-1,10,1,4399.33832753812
a2,-1,10,1,4399.33832753812
a3,1,1,0,4400.142727861393
a0,1,4,1,4400.342220184047
a3,1,1,1,4406.142727861393
a0,1,4,0,4406.342220184047
a3,1,1,0,4407.142727861393
a0,-1,14,0,4407.342220184047
a1,1,4,1,4407.342220184047
a1,1,4,0,4408.342220184047
a0,-1,15,1,4410.342220184047
a0,-1,18,1,4410.342220184047
a1,1,8,1,4411.342220184047
a1,1,6,1,4411.342220184047
a1,1,8,1,4411.342220184047
a3,1,1,1,4413.142727861393
a3,1,1,0,4414.142727861393
a0,-1,15,0,4416.342220184047
a2,-1,7,0,4417.33832753812
a2,-1,10,1,4418.33832753812
a0,-1,14,1,4418.9441262382115
a3,1,1,1,4420.142727861393
a3,1,1,0,4421.142727861393
a1,1,6,0,4421.342220184047
a1,1,7,1,4426.342220184047
a1,1,8,1,4426.342220184047
a3,1,1,1,4427.142727861393
a3,1,1,0,4428.142727861393
a0,-1,18,0,4431.342220184047
a2,-1,10,0,4432.33832753812
a1,1,7,0,4432.342220184047
a3,1,1,1,4434.142727861393
a3,1,1,0,4435.142727861393
a1,1,8,1,4435.342220184047
a2,1,8,0,4436.33832753812
a2,1,15,1,4437.33832753812
a1,-1,12,1,4437.424808683575
a3,1,1,1,4441.142727861393
a1,1,8,0,4441.342220184047
a3,1,1,0,4442.142727861393
a3,1,1,1,4448.142727861393
a3,1,1,0,4449.142727861393
a0,1,4,0,4450.342220184047
a0,-1,14,0,4450.342220184047
a0,-1,18,1,4452.342220184047
a2,-1,7,1,4452.721514772303
a1,-1,12,0,4454.342220184047
a3,1,1,1,4455.142727861393
a3,1,1,0,4456.142727861393
a1,-1,14,1,4456.342220184047
a3,1,1,1,4462.142727861393
a3,1,1,0,4463.142727861393
a1,-1,12,1,4464.608769105824
a1,-1,14,0,4466.342220184047
a2,1,15,0,4467.33832753812
a0,-1,14,1,4467.342220184047
a3,1,1,1,4469.142727861393
a3,1,1,0,4470.142727861393
a0,-1,18,0,4470.342220184047
a3,1,1,1,4476.142727861393
a3,1,1,0,4477.142727861393
a1,1,6,0,4477.342220184047
a1,-1,12,0,4477.342220184047
a1,-1,14,1,4478.342220184047
a3,1,1,1,4483.142727861393
a3,1,1,0,4484.142727861393
a2,-1,7,0,4487.33832753812
a2,-1,10,1,4488.33832753812
a1,-1,14,0,4488.342220184047
a0,1,4,0,4489.342220184047
a0,-1,14,0,4489.342220184047
a3,1,1,1,4490.142727861393
a0,-1,18,1,4490.342220184047
a3,1,1,0,4491.142727861393
a0,-1,14,1,4496.342220184047
a3,1,1,1,4497.142727861393
