,Location,NumFloor,Elevator Amount,Waiting_Time,Journey_Time
111,研究大樓,18,5,158.1614036181829,231.1335575066689
112,研究大樓,18,5,142.44113810080776,216.42649145777452
113,研究大樓,18,5,150.7249605952333,222.82930260441245
114,研究大樓,18,5,140.86509057516568,209.82021377888648
115,研究大樓,18,5,156.6254468927877,232.03124917077136
116,研究大樓,18,5,152.26799882014356,222.72623048348768
117,研究大樓,18,5,133.49569991783125,206.11178913538075
118,研究大樓,18,5,187.80358439475512,263.28330256935135
119,研究大樓,18,5,147.99374025163308,220.23689256205338
120,研究大樓,18,5,149.96284797719466,221.82072585197935
121,研究大樓,18,5,145.37907010165566,222.65423005291703
122,研究大樓,18,5,146.44900483537342,224.4868638286226
123,研究大樓,18,5,139.13330730645816,207.93694328715037
124,研究大樓,18,5,140.47979402687162,211.25244115916212
