,cid,pass_by,appear_time,destination,boarding_time,get_off_time,total_waiting_time,time_in_elev,journey_time,transfer_num,isSuccessful
118,118,"['5', '14']",1343.4645158820726,14,[1418.7363378453285],[1465.7363378453285],75.27182196325589,47.0,122.27182196325589,0,True
119,119,"['1', 'B4']",1343.6498033060554,B4,[1385.1602958269204],[1412.1602958269204],41.510492520865,27.0,68.510492520865,0,True
120,120,['3'],1345.0165060037539,1,,,13054.983493996246,,,0,False
121,121,"['13', '5']",1368.534072127603,5,[1474.7363378453285],[1512.7363378453285],106.2022657177256,38.0,144.2022657177256,0,True
122,122,"['1', 'B4']",1378.1723125986532,B4,[1387.1602958269204],[1412.1602958269204],8.98798322826724,25.0,33.98798322826724,0,True
123,123,"['4', '5', '11']",1400.7363378453285,11,"[1409.7363378453285, 1419.7363378453285]","[1415.7363378453285, 1450.7363378453285]",13.0,37.0,50.0,1,True
124,124,"['1', '5']",1412.2566637281714,15,[1757.3173423068765],[1791.3173423068765],12953.74333627183,34.0,12987.74333627183,1,False
125,125,"['5', '1']",1422.7975308679947,1,[1516.7363378453285],[1536.7363378453285],93.9388069773338,20.0,113.9388069773338,0,True
126,126,"['5', '12']",1427.6347791736766,12,[1598.7363378453285],[1632.7363378453285],171.1015586716519,34.0,205.1015586716519,0,True
127,127,['9'],1436.4479229785757,6,,,12963.552077021424,,,0,False
128,128,['3'],1441.7024797807655,1,,,12958.297520219234,,,0,False
129,129,"['13', '15']",1447.4571535475463,15,[1493.7363378453285],[1503.7363378453285],46.279184297782194,10.0,56.279184297782194,0,True
130,130,"['1', 'B4']",1457.2393160088254,B4,[1542.7363378453285],[1560.7363378453285],85.49702183650311,18.0,103.49702183650311,0,True
131,131,"['12', '5', '1']",1461.0446786101088,1,"[1482.7363378453285, 1518.7363378453285]","[1512.7363378453285, 1536.7363378453285]",27.69165923521973,48.0,75.69165923521973,1,True
132,132,['6'],1483.5600302289004,B1,,,12916.4399697711,,,0,False
133,133,"['15', '12']",1549.9973995156226,12,[1594.9973995156226],[1613.5731710797388],45.0,18.575771564116167,63.57577156411617,0,True
134,134,"['5', '8']",1552.8476072082594,9,[1599.7363378453285],[1613.7363378453285],12833.15239279174,14.0,12847.15239279174,1,False
135,135,"['B1', 'B4']",1553.9301602847172,B4,[1710.7363378453285],[1725.7363378453285],156.80617756061133,15.0,171.80617756061133,0,True
136,136,"['1', 'B4']",1569.094423807233,B4,[1680.5731710797388],[1698.5731710797388],111.47874727250587,18.0,129.47874727250587,0,True
137,137,['B3'],1571.8465020043268,7,,,12828.153497995674,,,0,False
138,138,"['13', '5', '1']",1596.5731710797388,1,"[1607.5731710797388, 1653.5731710797388]","[1644.5731710797388, 1676.5731710797388]",20.0,60.0,80.0,1,True
139,139,"['B1', 'B4']",1612.270082805423,B4,[1711.7363378453285],[1725.7363378453285],99.46625503990549,14.0,113.46625503990549,0,True
140,140,"['12', '5', '1', 'B1']",1624.465150716835,B1,"[1635.7363378453285, 1669.7363378453285, 1702.7363378453285]","[1665.7363378453285, 1691.7363378453285, 1708.7363378453285]",26.271187128493466,58.0,84.27118712849347,2,True
141,141,['5'],1625.2456666458816,6,[1793.3173423068765],,168.07167566099497,12606.682657693123,12774.754333354118,0,False
142,142,['B4'],1627.508853787091,B1,,,12772.49114621291,,,0,False
143,143,['2'],1642.8124014797218,1,,,12757.187598520279,,,0,False
144,144,['3'],1643.6233568488387,B4,,,12756.376643151161,,,0,False
145,145,"['B1', '1', '5']",1648.3343580152048,7,"[1744.3173423068765, 1759.3173423068765]","[1751.3173423068765, 1791.3173423068765]",12712.665641984795,39.0,12751.665641984795,2,False
146,146,['2'],1654.9534710207236,11,,,12745.046528979277,,,0,False
147,147,"['5', '4']",1658.024001694797,4,[1668.7363378453285],[1675.7363378453285],10.712336150531428,7.0,17.712336150531428,0,True
148,148,['12'],1662.6098797065902,14,,,12737.39012029341,,,0,False
149,149,['9'],1669.8000829853634,1,,,12730.199917014637,,,0,False
150,150,['10'],1670.0414297252737,6,,,12729.958570274726,,,0,False
151,151,['5'],1679.867605991179,8,[1794.3173423068765],,114.44973631569746,12605.682657693123,12720.13239400882,0,False
152,152,['8'],1686.751074494035,3,,,12713.248925505965,,,0,False
153,153,['9'],1715.0352592682166,15,,,12684.964740731783,,,0,False
154,154,"['B1', '1', '5']",1717.3173423068765,10,"[1745.3173423068765, 1758.3173423068765]","[1751.3173423068765, 1791.3173423068765]",12643.682657693123,39.0,12682.682657693123,2,False
155,155,['14'],1741.7047829125486,B1,,,12658.295217087452,,,0,False
156,156,['B4'],1795.7841026116891,11,,,12604.21589738831,,,0,False
