,location,sep_floor,dataType,data
169,研究大樓,odd-even-division,count_wasted,95.0
170,研究大樓,odd-even-division,waiting_time,3909.4261373986965
171,研究大樓,odd-even-division,journey_time,2537.9137294963434
172,研究大樓,odd-even-division,count_floor,399.0
173,研究大樓,odd-even-division,count_stop,20.0
174,研究大樓,odd-even-division,count_wasted,15.0
175,研究大樓,odd-even-division,waiting_time,3408.7847518161925
176,研究大樓,odd-even-division,journey_time,1518.226065159458
177,研究大樓,odd-even-division,count_floor,645.0
178,研究大樓,odd-even-division,count_stop,31.0
179,研究大樓,odd-even-division,count_wasted,33.0
180,研究大樓,odd-even-division,waiting_time,6148.715067583837
181,研究大樓,odd-even-division,journey_time,2164.779600761537
182,研究大樓,odd-even-division,count_floor,335.0
183,研究大樓,odd-even-division,count_stop,22.0
184,研究大樓,odd-even-division,count_wasted,17.0
185,研究大樓,odd-even-division,waiting_time,4292.465928311828
186,研究大樓,odd-even-division,journey_time,2149.767568550028
187,研究大樓,odd-even-division,count_floor,711.0
188,研究大樓,odd-even-division,count_stop,69.0
189,研究大樓,odd-even-division,count_wasted,78.0
190,研究大樓,odd-even-division,waiting_time,2266.6031676839953
191,研究大樓,odd-even-division,journey_time,1410.7169820196598
192,研究大樓,odd-even-division,count_floor,764.0
193,研究大樓,odd-even-division,count_stop,82.0
194,研究大樓,odd-even-division,count_wasted,89.0
195,研究大樓,odd-even-division,waiting_time,4377.80418638306
196,研究大樓,odd-even-division,journey_time,2405.4710696151
197,研究大樓,odd-even-division,count_floor,342.0
198,研究大樓,odd-even-division,count_stop,36.0
199,研究大樓,odd-even-division,count_wasted,30.0
200,研究大樓,odd-even-division,waiting_time,2521.9978394851323
201,研究大樓,odd-even-division,journey_time,1581.1070101358605
202,研究大樓,odd-even-division,count_floor,477.0
203,研究大樓,odd-even-division,count_stop,42.0
204,研究大樓,odd-even-division,count_wasted,43.0
205,研究大樓,odd-even-division,waiting_time,3262.70165467502
206,研究大樓,odd-even-division,journey_time,866.1149556801863
207,研究大樓,odd-even-division,count_floor,740.0
208,研究大樓,odd-even-division,count_stop,49.0
209,研究大樓,odd-even-division,count_wasted,59.0
210,研究大樓,odd-even-division,waiting_time,2810.126727663747
211,研究大樓,odd-even-division,journey_time,372.94765560832803
212,研究大樓,odd-even-division,count_floor,410.0
