action,riderNumAfter,floorIndex,direction,time
1,1,4,-1,694.9209442974947
1,1,4,1,694.9209442974947
2,1,1,1,695.5993438344128
2,0,8,-1,700.3063797211374
2,1,1,1,702.5993438344128
2,0,1,-1,703.1281589174047
1,1,11,1,707.3063797211374
1,0,5,-1,708.4454800255868
1,1,5,1,708.4454800255868
2,1,11,1,709.3063797211374
2,0,1,1,710.5993438344128
1,1,6,-1,711.7227539400187
1,2,6,1,711.7227539400187
2,0,6,-1,714.7227539400187
2,0,11,1,717.3063797211374
1,1,7,-1,723.0606803825106
1,0,7,1,723.0606803825106
2,0,12,1,724.3063797211374
1,4,4,-1,725.7227539400187
2,0,14,1,726.3063797211374
1,2,4,1,726.5993438344128
1,4,4,-1,727.9148305444376
1,3,4,1,727.9148305444376
2,0,5,1,732.7227539400187
2,0,16,1,737.3063797211374
1,2,15,-1,739.3559535041345
1,0,15,1,739.3559535041345
2,0,15,-1,747.3063797211374
1,1,8,1,747.7227539400187
2,0,7,-1,754.7227539400187
1,0,0,-1,761.2100010556967
1,3,0,1,761.2100010556967
1,5,4,-1,769.7227539400187
1,5,14,-1,774.7040670088732
1,0,14,1,774.7040670088732
2,0,4,-1,777.7227539400187
1,2,8,-1,779.3063797211374
2,0,3,-1,786.7227539400187
2,0,8,-1,798.3063797211374
2,0,1,-1,798.7227539400187
1,1,8,-1,800.4174436590504
1,1,8,1,800.4174436590504
1,2,4,-1,818.3063797211374
1,0,7,-1,818.9132966754936
1,1,7,1,818.9132966754936
1,2,18,-1,825.0220160252807
1,0,18,1,825.0220160252807
1,2,17,-1,838.0910696804154
1,0,17,1,838.0910696804154
2,0,4,-1,838.3063797211374
2,0,3,-1,846.3063797211374
1,0,11,-1,847.022358523307
1,1,11,1,847.022358523307
1,1,5,-1,850.291095488519
1,0,5,1,850.291095488519
2,0,11,1,854.022358523307
1,0,3,-1,854.2023507438537
1,1,3,1,854.2023507438537
2,0,5,1,855.291095488519
2,0,5,-1,857.291095488519
1,6,14,-1,857.8235771619669
1,0,14,1,857.8235771619669
2,0,12,1,861.022358523307
1,1,4,-1,865.291095488519
1,0,0,-1,876.925362675385
1,4,0,1,876.925362675385
2,0,3,1,878.3063797211374
2,0,4,-1,888.3063797211374
2,0,3,-1,896.3063797211374
1,2,17,-1,901.5325595400226
1,1,17,1,901.5325595400226
1,1,5,-1,909.9743282376903
1,0,5,1,909.9743282376903
1,1,12,-1,913.1626139300242
1,0,12,1,913.1626139300242
1,1,8,-1,915.608670447907
1,2,8,1,915.608670447907
1,1,9,-1,935.5866709924389
1,0,9,1,935.5866709924389
2,0,9,1,940.5866709924389
2,0,9,-1,941.5866709924389
1,1,10,-1,955.1214188448797
1,0,10,1,955.1214188448797
1,3,17,-1,955.5358403067945
1,1,17,1,955.5358403067945
1,1,8,-1,962.8822449619809
1,3,8,1,962.8822449619809
1,0,0,-1,963.0406164743711
1,5,0,1,963.0406164743711
1,1,12,-1,963.4544947855537
1,1,12,1,963.4544947855537
2,0,10,1,964.1214188448797
2,0,10,-1,966.1214188448797
1,1,1,-1,969.9055433943222
1,0,1,1,969.9055433943222
1,0,3,-1,977.4538706579079
1,1,3,1,977.4538706579079
1,0,0,-1,979.7413518387904
1,6,0,1,979.7413518387904
2,0,1,-1,979.9055433943222
2,0,8,-1,981.8822449619809
2,0,6,-1,993.8822449619809
1,3,17,-1,997.6584890366414
1,2,17,1,997.6584890366414
2,0,3,1,1002.9055433943222
1,4,4,1,1009.9055433943222
1,1,4,-1,1024.8635186859374
1,0,4,1,1024.8635186859374
2,0,4,1,1024.9055433943222
2,0,4,-1,1026.8635186859374
1,1,8,-1,1027.735185544213
1,3,8,1,1027.735185544213
2,0,6,1,1038.9055433943222
1,0,11,-1,1043.9915158392052
1,1,11,1,1043.9915158392052
1,1,8,-1,1044.7619309042384
1,4,8,1,1044.7619309042384
1,1,7,-1,1047.1791999057407
1,1,7,1,1047.1791999057407
1,0,16,-1,1048.0003735500175
1,1,16,1,1048.0003735500175
1,6,8,1,1055.9055433943222
2,0,8,-1,1057.9055433943222
2,0,7,-1,1064.9055433943222
2,0,6,-1,1071.9055433943222
1,1,4,-1,1082.9055433943222
2,0,16,1,1083.0003735500175
1,2,12,-1,1091.6965841170716
1,1,12,1,1091.6965841170716
2,0,17,1,1095.0003735500175
1,0,8,-1,1099.3575018904792
1,7,8,1,1099.3575018904792
2,0,4,-1,1101.9055433943222
1,1,13,-1,1118.468767078224
1,0,13,1,1118.468767078224
1,3,18,-1,1121.4217519193678
1,0,18,1,1121.4217519193678
2,0,13,1,1123.468767078224
2,0,13,-1,1124.468767078224
1,1,11,-1,1135.468767078224
1,0,3,-1,1136.4223866174932
1,1,3,1,1136.4223866174932
1,1,15,-1,1138.2240804385283
1,0,15,1,1138.2240804385283
1,1,3,-1,1142.9425755363222
1,1,3,1,1142.9425755363222
2,0,3,1,1151.4223866174932
2,0,8,1,1155.0003735500175
1,1,4,1,1159.4223866174932
2,0,4,1,1161.4223866174932
2,0,9,1,1163.0003735500175
1,0,4,-1,1165.0874870873772
1,1,4,1,1165.0874870873772
2,0,3,-1,1167.4223866174932
2,0,4,1,1168.0874870873772
2,0,10,1,1171.0003735500175
1,3,12,-1,1173.7994279777058
1,1,12,1,1173.7994279777058
2,0,1,-1,1178.4223866174932
2,1,11,1,1179.0003735500175
1,1,7,-1,1183.9597596864123
