name,action,floor,time,direction,riderNumAfter
a1,1,3,990.8822449619809,-1.0,
a0,1,B3,992.9055433943222,1.0,
a1,2,3,993.8822449619809,-1.0,0.0
a1,0,3,994.8822449619809,,
a0,1,B2,996.9055433943222,1.0,
a0,1,B1,1000.9055433943222,1.0,
a0,2,B1,1002.9055433943222,1.0,1.0
a0,1,1,1007.9055433943222,1.0,
a0,0,1,1010.9055433943222,,
a1,1,2,1013.9055433943222,-1.0,
a1,1,1,1017.9055433943222,-1.0,
a1,2,1,1024.9055433943222,1.0,4.0
a0,2,1,1026.8635186859374,-1.0,1.0
a1,1,2,1029.9055433943222,1.0,
a0,1,B1,1031.8635186859374,-1.0,
a1,1,3,1033.9055433943222,1.0,
a0,1,B2,1035.8635186859374,-1.0,
a1,2,3,1038.9055433943222,1.0,5.0
a0,1,B3,1039.8635186859374,-1.0,
a0,1,B4,1043.8635186859374,-1.0,
a1,1,4,1043.9055433943222,1.0,
a0,0,B4,1046.8635186859374,,
a1,1,5,1047.9055433943222,1.0,
a2,1,6,1052.0003735500175,1.0,
a2,1,7,1056.0003735500175,1.0,
a1,2,5,1057.9055433943222,-1.0,1.0
a2,1,8,1060.0003735500175,1.0,
a1,1,4,1062.9055433943222,-1.0,
a2,1,9,1064.0003735500175,1.0,
a1,2,4,1064.9055433943222,-1.0,2.0
a2,1,10,1068.0003735500175,1.0,
a1,1,3,1069.9055433943222,-1.0,
a1,2,3,1071.9055433943222,-1.0,1.0
a2,1,11,1072.0003735500175,1.0,
a2,1,12,1076.0003735500175,1.0,
a1,1,2,1076.9055433943222,-1.0,
a2,1,13,1080.0003735500175,1.0,
a1,1,1,1080.9055433943222,-1.0,
a2,2,13,1083.0003735500175,1.0,1.0
a1,0,1,1083.9055433943222,,
a0,1,B3,1086.9055433943222,1.0,
a2,1,14,1088.0003735500175,1.0,
a0,1,B2,1090.9055433943222,1.0,
a0,1,B1,1094.9055433943222,1.0,
a2,2,14,1095.0003735500175,1.0,2.0
a0,1,1,1098.9055433943222,1.0,
a2,1,15,1100.0003735500175,1.0,
a0,2,1,1101.9055433943222,-1.0,1.0
a0,1,B1,1106.9055433943222,-1.0,
a2,1,14,1110.0003735500175,-1.0,
a0,1,B2,1110.9055433943222,-1.0,
a2,1,13,1114.0003735500175,-1.0,
a0,1,B3,1114.9055433943222,-1.0,
a2,1,12,1118.0003735500175,-1.0,
a0,1,B4,1118.9055433943222,-1.0,
a2,1,11,1122.0003735500175,-1.0,
a4,1,10,1122.468767078224,1.0,
a0,0,B4,1122.9055433943222,,
a4,2,10,1123.468767078224,1.0,0.0
a4,2,10,1124.468767078224,-1.0,1.0
a2,1,10,1126.0003735500175,-1.0,
a4,1,9,1129.468767078224,-1.0,
a2,1,9,1130.0003735500175,-1.0,
a4,1,8,1133.468767078224,-1.0,
a2,1,8,1134.0003735500175,-1.0,
a4,0,8,1136.468767078224,,
a2,1,7,1138.0003735500175,-1.0,
a0,1,B3,1140.4223866174932,1.0,
a2,1,6,1142.0003735500175,-1.0,
a0,1,B2,1144.4223866174932,1.0,
a2,1,5,1146.0003735500175,-1.0,
a0,1,B1,1148.4223866174932,1.0,
a0,2,B1,1151.4223866174932,1.0,1.0
a2,2,5,1155.0003735500175,1.0,7.0
a0,1,1,1156.4223866174932,1.0,
a2,1,6,1160.0003735500175,1.0,
a1,2,1,1161.4223866174932,1.0,1.0
a2,2,6,1163.0003735500175,1.0,6.0
a0,1,B1,1164.4223866174932,-1.0,
a0,2,B1,1167.4223866174932,-1.0,1.0
a2,1,7,1168.0003735500175,1.0,
a1,2,1,1168.0874870873772,1.0,2.0
a2,2,7,1171.0003735500175,1.0,5.0
a0,1,B2,1172.4223866174932,-1.0,
a1,1,2,1173.0874870873772,1.0,
a2,1,8,1176.0003735500175,1.0,
a0,1,B3,1176.4223866174932,-1.0,
a1,1,3,1177.0874870873772,1.0,
a0,2,B3,1178.4223866174932,-1.0,0.0
a2,2,8,1179.0003735500175,1.0,4.0
a0,0,B3,1179.4223866174932,,
a1,1,4,1181.0874870873772,1.0,
a2,1,9,1184.0003735500175,1.0,
a1,1,5,1185.0874870873772,1.0,
a4,2,8,1187.0003735500175,1.0,1.0
a2,1,10,1188.0003735500175,1.0,
a2,1,11,1192.0003735500175,1.0,
a4,1,9,1192.0003735500175,1.0,
a1,1,4,1192.0874870873772,-1.0,
a1,2,4,1195.0874870873772,-1.0,1.0
a2,1,12,1196.0003735500175,1.0,
a4,1,10,1196.0003735500175,1.0,
a4,2,10,1198.0003735500175,1.0,0.0
a4,0,10,1199.0003735500175,,
a2,1,13,1200.0003735500175,1.0,
a1,1,3,1200.0874870873772,-1.0,
a2,2,13,1203.0003735500175,1.0,3.0
a1,1,2,1204.0874870873772,-1.0,
a0,1,B2,1205.3834717651844,1.0,
a2,1,14,1208.0003735500175,1.0,
a1,1,1,1208.0874870873772,-1.0,
a0,1,B1,1209.3834717651844,1.0,
a2,2,14,1211.0003735500175,1.0,2.0
a0,2,B1,1211.3834717651844,1.0,1.0
a1,0,1,1212.0874870873772,,
a2,1,15,1216.0003735500175,1.0,
a0,1,1,1216.3834717651844,1.0,
a0,0,1,1219.3834717651844,,
a1,2,1,1220.3834717651844,1.0,1.0
a1,1,2,1225.3834717651844,1.0,
a2,1,14,1226.0003735500175,-1.0,
a1,1,3,1229.3834717651844,1.0,
a2,1,13,1230.0003735500175,-1.0,
a1,2,3,1231.3834717651844,1.0,0.0
a1,0,3,1232.3834717651844,,
a2,1,12,1234.0003735500175,-1.0,
a2,2,12,1237.0003735500175,-1.0,1.0
a2,1,11,1242.0003735500175,-1.0,
a2,1,10,1246.0003735500175,-1.0,
a2,1,9,1250.0003735500175,-1.0,
a2,1,8,1254.0003735500175,-1.0,
a2,1,7,1258.0003735500175,-1.0,
a3,2,B3,1260.2164497328604,1.0,0.0
a3,0,B3,1261.2164497328604,,
a2,1,6,1262.0003735500175,-1.0,
a2,1,5,1266.0003735500175,-1.0,
a0,1,B1,1270.2164497328604,-1.0,
a2,2,5,1271.0003735500175,1.0,2.0
a1,1,4,1272.0003735500175,1.0,
a0,1,B2,1274.2164497328604,-1.0,
a1,1,5,1276.0003735500175,1.0,
a2,1,6,1276.0003735500175,1.0,
a0,1,B3,1278.2164497328604,-1.0,
a1,2,5,1279.0003735500175,-1.0,1.0
a2,2,6,1279.0003735500175,1.0,1.0
a0,2,B3,1279.2164497328604,-1.0,0.0
a0,2,B3,1281.2164497328604,1.0,1.0
a1,1,4,1284.0003735500175,-1.0,
a2,1,7,1284.0003735500175,1.0,
a0,1,B2,1286.2164497328604,1.0,
a1,1,3,1288.0003735500175,-1.0,
a2,1,8,1288.0003735500175,1.0,
a0,1,B1,1290.2164497328604,1.0,
a1,1,2,1292.0003735500175,-1.0,
a2,1,9,1292.0003735500175,1.0,
a0,1,1,1294.2164497328604,1.0,
a1,1,1,1296.0003735500175,-1.0,
a2,1,10,1296.0003735500175,1.0,
a0,0,1,1297.2164497328604,,
a1,0,1,1299.0003735500175,,
a2,1,11,1300.0003735500175,1.0,
a0,2,1,1303.0003735500175,-1.0,2.0
a2,1,12,1304.0003735500175,1.0,
a2,1,13,1308.0003735500175,1.0,
a0,1,B1,1308.0003735500175,-1.0,
a0,2,B1,1311.0003735500175,-1.0,1.0
a2,1,14,1312.0003735500175,1.0,
a2,1,15,1316.0003735500175,1.0,
a0,1,B2,1316.0003735500175,-1.0,
a2,0,15,1319.0003735500175,,
a0,1,B3,1320.0003735500175,-1.0,
a0,1,B4,1324.0003735500175,-1.0,
a0,0,B4,1328.0003735500175,,
a1,1,2,1345.1729922917357,1.0,
a1,1,3,1349.1729922917357,1.0,
a1,1,4,1353.1729922917357,1.0,
a1,2,4,1355.1729922917357,1.0,1.0
a1,1,5,1360.1729922917357,1.0,
a2,1,14,1367.1729922917357,-1.0,
a1,1,4,1368.1729922917357,-1.0,
a2,1,13,1371.1729922917357,-1.0,
a1,2,4,1371.1729922917357,-1.0,1.0
a2,1,12,1375.1729922917357,-1.0,
a1,1,3,1376.1729922917357,-1.0,
a2,1,11,1379.1729922917357,-1.0,
a1,2,3,1381.376889726121,-1.0,2.0
a0,1,B3,1381.8360179388333,1.0,
a2,1,10,1383.1729922917357,-1.0,
a0,1,B2,1385.8360179388333,1.0,
a1,1,2,1386.376889726121,-1.0,
a2,1,9,1387.1729922917357,-1.0,
a0,1,B1,1389.8360179388333,1.0,
a1,1,1,1390.376889726121,-1.0,
a2,1,8,1391.1729922917357,-1.0,
a0,2,B1,1394.8360179388333,1.0,2.0
a2,1,7,1395.1729922917357,-1.0,
a1,1,2,1398.376889726121,1.0,
a2,1,6,1399.1729922917357,-1.0,
a0,1,1,1399.8360179388333,1.0,
a1,1,3,1402.376889726121,1.0,
a2,1,5,1403.1729922917357,-1.0,
a1,2,3,1404.376889726121,1.0,1.0
a0,0,1,1405.8360179388333,,
a2,2,5,1406.1729922917357,1.0,1.0
a1,1,4,1409.376889726121,1.0,
a2,1,6,1411.1729922917357,1.0,
a1,1,5,1413.376889726121,1.0,
a2,1,7,1415.1729922917357,1.0,
a2,2,7,1417.1729922917357,1.0,0.0
a2,0,7,1418.1729922917357,,
a1,2,5,1418.376889726121,-1.0,1.0
a1,1,4,1423.376889726121,-1.0,
a1,1,3,1427.376889726121,-1.0,
a0,1,B1,1431.3464399017712,-1.0,
a1,1,2,1431.376889726121,-1.0,
a0,2,B1,1432.3464399017712,-1.0,0.0
a0,2,B1,1433.3464399017712,1.0,1.0
a1,1,1,1435.376889726121,-1.0,
a0,1,1,1438.3464399017712,1.0,
a1,0,1,1439.376889726121,,
a0,0,1,1442.3464399017712,,
a1,2,1,1448.3464399017712,1.0,4.0
a1,1,2,1453.3464399017712,1.0,
a1,1,3,1457.3464399017712,1.0,
a1,2,3,1460.3464399017712,1.0,3.0
a1,1,4,1465.3464399017712,1.0,
a1,2,4,1467.3464399017712,1.0,2.0
a1,1,5,1472.3464399017712,1.0,
a1,0,5,1477.3464399017712,,
a2,1,6,1480.3464399017712,-1.0,
a2,1,5,1484.3464399017712,-1.0,
a2,2,5,1486.3464399017712,1.0,1.0
a2,1,6,1491.3464399017712,1.0,
a2,1,7,1495.3464399017712,1.0,
a2,1,8,1499.3464399017712,1.0,
a2,1,9,1503.3464399017712,1.0,
a2,1,10,1507.3464399017712,1.0,
a2,1,11,1511.3464399017712,1.0,
a2,1,12,1515.3464399017712,1.0,
a2,1,13,1519.3464399017712,1.0,
a2,1,14,1523.3464399017712,1.0,
a2,2,14,1526.3464399017712,1.0,0.0
a2,0,14,1527.3464399017712,,
a1,1,4,1586.054505150025,-1.0,
a1,1,3,1590.054505150025,-1.0,
a1,2,3,1593.054505150025,-1.0,1.0
a1,1,2,1598.054505150025,-1.0,
a1,1,1,1602.054505150025,-1.0,
a1,0,1,1605.054505150025,,
a1,1,2,1660.7646218910531,1.0,
a1,1,3,1664.7646218910531,1.0,
a2,1,13,1666.6098797065902,-1.0,
a1,2,3,1667.7646218910531,1.0,1.0
a2,1,12,1670.6098797065902,-1.0,
a2,2,12,1671.6098797065902,-1.0,0.0
a1,1,4,1672.7646218910531,1.0,
a2,2,12,1673.6098797065902,1.0,1.0
a1,1,5,1676.7646218910531,1.0,
a2,1,13,1678.6098797065902,1.0,
a1,0,5,1679.7646218910531,,
a2,2,13,1683.6098797065902,1.0,1.0
a1,1,4,1685.658863884571,-1.0,
a1,2,4,1687.658863884571,-1.0,1.0
a2,1,14,1688.6098797065902,1.0,
a2,2,14,1690.6098797065902,1.0,0.0
a2,0,14,1691.6098797065902,,
a1,1,3,1692.658863884571,-1.0,
a1,1,2,1696.658863884571,-1.0,
a1,1,1,1700.658863884571,-1.0,
a1,0,1,1703.658863884571,,
a0,2,1,1711.658863884571,-1.0,6.0
a1,1,2,1711.9599106104147,1.0,
a1,1,3,1715.9599106104147,1.0,
a0,1,B1,1716.658863884571,-1.0,
a1,1,4,1719.9599106104147,1.0,
a0,2,B1,1720.658863884571,-1.0,3.0
a1,1,5,1723.9599106104147,1.0,
a0,1,B2,1725.658863884571,-1.0,
a1,2,5,1726.9599106104147,-1.0,1.0
a0,1,B3,1729.658863884571,-1.0,
a1,1,4,1731.9599106104147,-1.0,
a0,1,B4,1733.658863884571,-1.0,
a1,1,3,1735.9599106104147,-1.0,
a0,0,B4,1739.658863884571,,
a1,1,2,1739.9599106104147,-1.0,
a1,2,2,1743.9599106104147,-1.0,1.0
a1,1,1,1748.9599106104147,-1.0,
a1,0,1,1751.9599106104147,,
a0,1,B3,1754.9599106104147,1.0,
a0,1,B2,1758.9599106104147,1.0,
a0,1,B1,1762.9599106104147,1.0,
a0,1,1,1766.9599106104147,1.0,
a0,2,1,1769.9599106104147,-1.0,1.0
a0,1,B1,1774.9599106104147,-1.0,
a0,1,B2,1778.9599106104147,-1.0,
a0,1,B3,1782.9599106104147,-1.0,
a0,1,B4,1786.9599106104147,-1.0,
a0,0,B4,1790.9599106104147,,
a1,2,1,1792.7647912181912,1.0,2.0
a1,1,2,1797.7647912181912,1.0,
a1,1,3,1801.7647912181912,1.0,
a1,1,4,1805.7647912181912,1.0,
a1,1,5,1809.7647912181912,1.0,
a1,0,5,1814.7647912181912,,
a2,1,13,1817.7647912181912,-1.0,
a2,1,12,1821.7647912181912,-1.0,
a2,1,11,1825.7647912181912,-1.0,
a2,1,10,1829.7647912181912,-1.0,
a2,1,9,1833.7647912181912,-1.0,
a2,1,8,1837.7647912181912,-1.0,
a2,1,7,1841.7647912181912,-1.0,
a2,1,6,1845.7647912181912,-1.0,
a2,1,5,1849.7647912181912,-1.0,
a2,2,5,1854.7647912181912,1.0,2.0
a2,1,6,1859.7647912181912,1.0,
a2,1,7,1863.7647912181912,1.0,
a2,2,7,1866.7647912181912,1.0,0.0
a2,1,8,1871.7647912181912,1.0,
a2,1,9,1875.7647912181912,1.0,
a2,1,10,1879.7647912181912,1.0,
a2,1,11,1883.7647912181912,1.0,
a2,1,12,1887.7647912181912,1.0,
a2,2,12,1888.7647912181912,1.0,0.0
a2,2,12,1889.7647912181912,-1.0,1.0
a2,1,11,1894.7647912181912,-1.0,
a2,2,11,1911.7647912181912,-1.0,11.0
a2,1,10,1916.7647912181912,-1.0,
a2,1,9,1920.7647912181912,-1.0,
a2,1,8,1924.7647912181912,-1.0,
a2,1,7,1928.7647912181912,-1.0,
a2,1,6,1932.7647912181912,-1.0,
a2,1,5,1936.7647912181912,-1.0,
a2,1,6,1943.7647912181912,1.0,
a2,1,7,1947.7647912181912,1.0,
a2,1,8,1951.7647912181912,1.0,
a2,1,9,1955.7647912181912,1.0,
a1,2,5,1957.660273227072,-1.0,13.0
a2,1,10,1959.7647912181912,1.0,
a1,1,4,1962.660273227072,-1.0,
a2,1,11,1963.7647912181912,1.0,
a1,2,4,1965.660273227072,-1.0,12.0
a2,2,11,1966.7647912181912,1.0,1.0
a1,1,3,1970.660273227072,-1.0,
a2,1,12,1971.7647912181912,1.0,
a1,1,2,1974.660273227072,-1.0,
a2,2,12,1974.7647912181912,1.0,2.0
a1,2,2,1977.660273227072,-1.0,11.0
a2,1,13,1979.7647912181912,1.0,
a1,1,1,1982.660273227072,-1.0,
a2,1,14,1983.7647912181912,1.0,
a2,2,14,1985.7647912181912,1.0,1.0
a2,1,15,1990.7647912181912,1.0,
a1,0,1,1993.660273227072,,
a2,0,15,1993.7647912181912,,
a0,1,B3,1996.660273227072,1.0,
a0,1,B2,2000.660273227072,1.0,
a0,1,B1,2004.660273227072,1.0,
a0,1,1,2008.660273227072,1.0,
a0,2,1,2021.660273227072,-1.0,7.0
a0,1,B1,2026.660273227072,-1.0,
a1,1,2,2033.423852331423,1.0,
a0,2,B1,2034.660273227072,-1.0,2.0
a1,1,3,2037.423852331423,1.0,
a0,1,B2,2039.660273227072,-1.0,
a4,1,11,2039.985024200467,1.0,
a4,2,11,2040.985024200467,-1.0,0.0
a1,1,4,2041.423852331423,1.0,
a4,0,11,2041.985024200467,,
a0,1,B3,2043.660273227072,-1.0,
a1,1,5,2045.423852331423,1.0,
a0,2,B3,2046.660273227072,-1.0,1.0
a1,2,5,2047.423852331423,-1.0,1.0
a0,1,B4,2051.660273227072,-1.0,
a1,1,4,2052.423852331423,-1.0,
a0,0,B4,2054.660273227072,,
a1,2,4,2055.423852331423,-1.0,0.0
a1,0,4,2056.423852331423,,
a1,1,3,2066.6649491552066,-1.0,
a1,1,2,2070.6649491552066,-1.0,
a1,1,1,2074.6649491552066,-1.0,
a1,2,1,2077.6649491552066,1.0,1.0
a1,1,2,2082.6649491552066,1.0,
a1,1,3,2086.6649491552066,1.0,
a1,1,4,2090.6649491552066,1.0,
a1,1,5,2094.6649491552066,1.0,
a1,0,5,2097.6649491552066,,
a2,1,14,2100.6649491552066,-1.0,
a2,1,13,2104.6649491552066,-1.0,
a2,1,12,2108.6649491552066,-1.0,
a2,1,11,2112.6649491552066,-1.0,
