cid,pass_by,appear_time,destination,boarding_time,get_off_time,total_waiting_time,time_in_elev,journey_time,transfer_num,isSuccessful
210,"['4', '7']",2577.4014863827797,14,[2584.4014863827797],[2601.4014863827797],1005.5985136172203,17.0,1022.5985136172203,1,False
211,"['14', '15']",2593.0224077758967,15,[2681.0224077758967],[2687.0224077758967],88.0,6.0,94.0,0,True
212,['9'],2596.973975741656,2,,,1003.026024258344,,,0,False
213,"['13', '7']",2610.4126139216696,B1,[2621.0224077758967],[2647.0224077758967],963.5873860783304,26.0,989.5873860783304,1,False
214,"['B4', '1']",2611.3380218190073,1,[2619.3380218190073],[2637.3380218190073],8.0,18.0,26.0,0,True
215,"['B3', 'B4']",2618.2333506682357,B4,[3044.88798720688],[3050.88798720688],426.65463653864435,6.0,432.65463653864435,0,True
216,"['10', '7']",2641.2742861866736,B3,[2711.0224077758967],[2729.0224077758967],940.7257138133264,18.0,958.7257138133264,1,False
217,"['5', '7']",2670.808150430267,14,[3288.411430783866],[3312.411430783866],905.1918495697332,24.0,929.1918495697332,1,False
218,"['11', '7']",2674.3509845529848,1,[3185.6513196899314],[3208.6513196899314],902.6490154470152,23.0,925.6490154470152,1,False
219,"['5', '7']",2679.2397548425583,15,[3290.411430783866],[3312.411430783866],898.7602451574417,22.0,920.7602451574417,1,False
220,['B1'],2686.9390090843353,11,,,913.0609909156647,,,0,False
221,"['3', '1']",2694.3431281276,1,[2712.3431281276],[2722.3431281276],18.0,10.0,28.0,0,True
222,"['8', '7']",2700.769440008214,7,[2723.0224077758967],[2729.0224077758967],22.25296776768255,6.0,28.25296776768255,0,True
223,"['B3', '1']",2700.824646999731,3,[2729.690349808502],[2743.690349808502],885.1753530002688,14.0,899.1753530002688,1,False
224,['5'],2706.7202479155526,1,[3558.95006135831],,852.2298134427574,41.049938641690005,893.2797520844474,0,False
225,"['B4', '1']",2707.690349808502,1,[2721.690349808502],[2743.690349808502],14.0,22.0,36.0,0,True
226,['12'],2709.859358004809,4,,,890.1406419951909,,,0,False
227,"['3', '1']",2721.8034157224174,B4,[2977.969806100696],[2988.969806100696],867.1965842775826,11.0,878.1965842775826,1,False
228,['7'],2722.6661592866512,B1,,,877.3338407133488,,,0,False
229,['B1'],2727.3805517255764,B3,,,872.6194482744236,,,0,False
230,"['8', '7']",2754.1039280485984,5,[2814.1039280485984],[2820.1039280485984],839.8960719514016,6.0,845.8960719514016,1,False
231,['10'],2822.8219489597077,13,,,777.1780510402923,,,0,False
232,"['5', '4']",2838.4061522088637,4,[3560.95006135831],[3572.95006135831],722.5439091494463,12.0,734.5439091494463,0,True
233,"['3', '1']",2842.024676812573,1,[2978.969806100696],[2988.969806100696],136.9451292881231,10.0,146.9451292881231,0,True
234,"['5', '7']",2857.834489844524,8,[3292.411430783866],[3312.411430783866],722.1655101554761,20.0,742.1655101554761,1,False
235,['7'],2861.577713603301,3,,,738.4222863966988,,,0,False
236,"['B4', '1']",2869.2467442456964,4,[2887.2467442456964],[2905.2467442456964],712.7532557543036,18.0,730.7532557543036,1,False
237,['B1'],2873.6534617078914,13,,,726.3465382921086,,,0,False
238,['9'],2880.385523216343,B1,,,719.6144767836572,,,0,False
239,['5'],2882.099360944068,B1,[3562.95006135831],,680.850700414242,37.049938641690005,717.9006390559321,0,False
240,"['8', '7']",2888.7940470523877,1,[2894.7940470523877],[2900.7940470523877],705.2059529476123,6.0,711.2059529476123,1,False
241,['6'],2909.6814135152526,1,[3534.95006135831],,625.2686478430574,65.04993864169,690.3185864847474,0,False
242,['5'],2917.501543526036,B3,[3563.95006135831],,646.4485178322739,36.049938641690005,682.4984564739639,0,False
243,['1'],2921.696667739871,14,,,678.3033322601291,,,0,False
244,"['4', '7']",2927.969806100696,9,[2942.969806100696],[2956.969806100696],658.0301938993039,14.0,672.0301938993039,1,False
245,"['3', '7']",2948.285491792175,7,[3004.969806100696],[3022.969806100696],56.68431430852115,18.0,74.68431430852115,0,True
246,['B1'],2950.2573763254136,13,,,649.7426236745864,,,0,False
247,"['5', '7']",2951.8661938344517,15,[3293.411430783866],[3312.411430783866],629.1338061655483,19.0,648.1338061655483,1,False
248,"['11', '7']",2958.9207532981795,B1,[3186.6513196899314],[3208.6513196899314],619.0792467018205,22.0,641.0792467018205,1,False
249,['2'],2964.887006509816,B4,[3599.95006135831],,635.0630548484942,0.04993864169000517,635.1129934901842,0,False
250,['1'],2973.899410743658,9,,,626.1005892563421,,,0,False
251,"['8', '14']",2978.570441892311,14,[2984.570441892311],[3010.570441892311],6.0,26.0,32.0,0,True
252,['12'],2993.1517468135717,8,,,606.8482531864283,,,0,False
253,"['5', '6']",3026.549124849328,6,[3295.411430783866],[3304.411430783866],268.86230593453774,9.0,277.86230593453774,0,True
254,"['B3', '1']",3030.88798720688,11,[3059.88798720688],[3073.88798720688],555.1120127931199,14.0,569.1120127931199,1,False
255,"['3', '7']",3041.474613311884,10,[3059.474613311884],[3077.474613311884],540.5253866881162,18.0,558.5253866881162,1,False
256,"['13', '7']",3049.0814610953166,B4,[3055.0814610953166],[3081.0814610953166],524.9185389046834,26.0,550.9185389046834,1,False
257,"['B4', '1']",3067.387559986248,13,[3094.88798720688],[3112.88798720688],514.6124400137519,18.0,532.6124400137519,1,False
258,"['4', '7']",3071.537529524707,11,[3094.474613311884],[3108.474613311884],514.4624704752928,14.0,528.4624704752928,1,False
259,"['6', '4']",3086.332141776594,4,[3535.95006135831],[3572.95006135831],449.6179195817158,37.0,486.6179195817158,0,True
260,"['5', '7']",3090.3006622353414,13,[3296.411430783866],[3312.411430783866],493.6993377646586,16.0,509.6993377646586,1,False
261,"['8', '7']",3093.6542552926303,B4,[3099.6542552926303],[3105.6542552926303],500.3457447073697,6.0,506.3457447073697,1,False
262,"['4', '1']",3096.0454680062194,1,[3126.474613311884],[3140.474613311884],30.429145305664406,14.0,44.429145305664406,0,True
263,"['9', '12']",3125.128420555223,12,[3136.128420555223],[3150.128420555223],11.0,14.0,25.0,0,True
264,"['5', '7']",3130.664273951163,13,[3298.411430783866],[3312.411430783866],455.33572604883693,14.0,469.33572604883693,1,False
265,['5'],3149.563620716928,1,[3564.95006135831],,415.3864406413818,35.049938641690005,450.4363792830718,0,False
266,"['11', '14']",3156.6513196899314,14,[3232.6513196899314],[3246.6513196899314],76.0,14.0,90.0,0,True
267,['9'],3158.0007175631004,4,,,441.99928243689965,,,0,False
268,['1'],3171.820075481034,3,,,428.1799245189659,,,0,False
269,['B1'],3181.934616777792,B4,,,418.06538322220786,,,0,False
270,['11'],3192.3478803000994,6,,,407.6521196999006,,,0,False
271,['9'],3264.20739504754,8,,,335.7926049524599,,,0,False
272,"['3', '5']",3265.411430783866,5,[3276.411430783866],[3286.411430783866],11.0,10.0,21.0,0,True
273,"['15', '7']",3290.815301289019,1,[3296.815301289019],[3330.815301289019],275.18469871098114,34.0,309.18469871098114,1,False
274,['3'],3291.1294543913173,B4,[3589.95006135831],,298.8206069669927,10.049938641690005,308.87054560868273,0,False
275,['6'],3292.9163146206874,1,[3537.95006135831],,245.03374673762255,62.049938641690005,307.08368537931256,0,False
276,['7'],3299.8315641328613,3,,,300.16843586713867,,,0,False
277,"['B3', 'B4']",3300.494563959369,B4,[3315.494563959369],[3321.494563959369],15.0,6.0,21.0,0,True
278,['11'],3310.702498729707,5,,,289.2975012702932,,,0,False
279,['12'],3312.017309596905,B4,,,287.98269040309515,,,0,False
280,['1'],3334.787294180821,14,,,265.21270581917906,,,0,False
281,"['4', '1']",3335.608928493745,1,[3349.608928493745],[3363.608928493745],14.0,14.0,28.0,0,True
282,"['14', '15']",3340.251573654861,15,[3371.251573654861],[3377.251573654861],31.0,6.0,37.0,0,True
283,['B1'],3345.7681015208364,6,,,254.23189847916365,,,0,False
284,"['B4', '1']",3352.046895322828,2,[3361.046895322828],[3379.046895322828],229.95310467717218,18.0,247.95310467717218,1,False
285,['B1'],3399.7536213145627,B3,,,200.24637868543732,,,0,False
286,"['4', '7']",3406.9788016843404,12,[3420.9788016843404],[3434.9788016843404],179.0211983156596,14.0,193.0211983156596,1,False
287,"['B4', '1']",3411.665663897956,15,[3430.665663897956],[3448.665663897956],170.33433610204384,18.0,188.33433610204384,1,False
288,['1'],3458.743415362475,5,,,141.25658463752507,,,0,False
289,['1'],3463.6318167436943,14,,,136.36818325630566,,,0,False
290,['2'],3473.900308533921,B4,,,126.0996914660791,,,0,False
291,"['5', '3']",3492.993567723232,3,[3566.95006135831],[3583.95006135831],73.956493635078,17.0,90.956493635078,0,True
292,"['6', '3']",3498.1333779089537,3,[3539.95006135831],[3583.95006135831],41.81668344935633,44.0,85.81668344935633,0,True
293,['11'],3512.9204729813655,B1,,,87.07952701863451,,,0,False
294,"['B4', '1']",3513.018320781304,3,[3531.018320781304],[3549.018320781304],68.98167921869617,18.0,86.98167921869617,1,False
295,['6'],3519.95006135831,11,,,80.04993864169,,,0,False
296,['6'],3531.254290622142,B4,[3541.95006135831],,10.695770736168015,58.049938641690005,68.74570937785802,0,False
297,['9'],3532.0210710450892,1,,,67.97892895491077,,,0,False
298,['4'],3560.6688664880116,1,[3577.95006135831],,17.28119487029835,22.049938641690005,39.331133511988355,0,False
299,['1'],3568.154051144277,14,,,31.84594885572278,,,0,False
300,['6'],3570.024692067856,1,,,29.975307932144005,,,0,False
301,['12'],3575.8186725414043,11,,,24.18132745859566,,,0,False
