cid,pass_by,appear_time,destination,boarding_time,get_off_time,total_waiting_time,time_in_elev,journey_time,transfer_num,isSuccessful
30,"['B4', '1']",373.2873524878888,1,[402.01674038203413],[424.01674038203413],28.729387894145304,22.0,50.729387894145304,0,True
31,"['B1', '1']",396.1634281942406,15,[418.01674038203413],[424.01674038203413],3197.8365718057594,6.0,3203.8365718057594,1,False
32,"['9', '7', '1']",405.4276164474184,1,"[447.01674038203413, 507.01674038203413]","[459.01674038203413, 540.0167403820342]",89.58912393461571,45.00000000000006,134.58912393461577,1,True
33,"['7', '1']",405.5617721014852,B4,[452.01674038203413],[478.01674038203413],3168.438227898515,26.0,3194.438227898515,1,False
34,"['11', '7']",415.14100052040374,1,[3164.6513196899314],[3208.6513196899314],3140.858999479596,44.0,3184.858999479596,1,False
35,"['5', '7']",421.199888576347,9,[1361.5271084680319],[1379.5271084680319],3160.800111423653,18.0,3178.800111423653,1,False
36,"['9', '7', '1']",435.19858651044143,B1,"[449.01674038203413, 506.01674038203413]","[459.01674038203413, 540.0167403820342]",3120.8014134895584,44.00000000000006,3164.8014134895584,2,False
37,"['11', '7']",440.68117527678476,5,[3166.6513196899314],[3208.6513196899314],3117.318824723215,42.0,3159.318824723215,1,False
38,"['B4', '1']",452.92670106853063,3,[471.92670106853063],[489.92670106853063],3129.0732989314693,18.0,3147.0732989314693,1,False
39,"['14', '7']",462.54818516839896,1,[2601.0224077758967],[2647.0224077758967],3091.451814831601,46.0,3137.451814831601,1,False
40,"['8', '9']",484.61733832365616,9,[491.61733832365616],[497.61733832365616],7.0,6.0,13.0,0,True
41,"['5', '3']",493.059282424626,3,[519.0167403820342],[529.0167403820342],25.957457957408167,10.0,35.95745795740817,0,True
42,['1'],504.85049956154944,4,,,3095.1495004384506,,,0,False
43,"['B1', 'B3']",506.0979385393428,B3,[512.0979385393427],[522.0979385393427],5.999999999999943,10.0,15.999999999999943,0,True
44,"['4', '7', '13']",509.04594167480445,13,"[559.0167403820342, 585.0167403820342]","[573.0167403820342, 611.0167403820342]",61.97079870722973,40.0,101.97079870722973,1,True
45,"['B3', '1']",533.5993438344128,6,[541.5993438344128],[560.7454593653546],3047.2545406346453,19.146115530941756,3066.400656165587,1,False
46,"['3', '1']",535.3303765039853,B1,[599.788279886912],[609.788279886912],3054.6696234960145,10.0,3064.6696234960145,1,False
47,"['3', '4']",541.8777988085856,4,[2400.1213194799966],[2410.1213194799966],1858.243520671411,10.0,1868.243520671411,0,True
48,"['B1', '1']",546.7454593653546,13,[553.7454593653546],[560.7454593653546],3046.2545406346453,7.0,3053.2545406346453,1,False
49,"['B1', '1']",549.858680796489,4,[554.7454593653546],[560.7454593653546],3044.1413192035106,6.0,3050.1413192035106,1,False
50,"['B3', '1']",574.9551507007808,1,[588.9551507007808],[602.9551507007808],14.0,14.0,28.0,0,True
51,"['6', '7', '9']",582.2394612703904,9,"[635.788279886912, 647.37020489756]","[641.788279886912, 657.37020489756]",59.130743627169636,16.0,75.13074362716964,1,True
52,"['4', '1']",585.788279886912,B4,[592.788279886912],[609.788279886912],2997.2117201130877,17.0,3014.2117201130877,1,False
53,"['2', '1']",607.1281589174047,B4,[666.788279886912],[672.788279886912],2986.871841082595,6.0,2992.871841082595,1,False
54,"['8', '7', '4']",617.37020489756,4,"[639.37020489756, 700.788279886912]","[645.37020489756, 723.788279886912]",77.41807498935202,29.0,106.41807498935202,1,True
55,"['12', '7', '1']",640.6115389852015,1,"[673.37020489756, 702.788279886912]","[695.37020489756, 747.788279886912]",40.17674090171056,67.0,107.17674090171056,1,True
56,['1'],657.8167355361007,B1,,,2942.1832644638994,,,0,False
57,"['7', '10']",660.2969224887652,10,[698.37020489756],[712.37020489756],38.07328240879485,14.0,52.07328240879485,0,True
58,"['5', '3']",662.7338199741775,3,[717.788279886912],[731.788279886912],55.0544599127345,14.0,69.0544599127345,0,True
59,"['9', '7']",671.8140501645402,B1,[2096.6768336856644],[2113.6768336856644],2911.1859498354597,17.0,2928.1859498354597,1,False
60,"['6', '1']",686.371873642134,1,[709.788279886912],[747.788279886912],23.416406244778045,38.0,61.416406244778045,0,True
61,"['2', '1']",704.8563837835327,1,[741.788279886912],[747.788279886912],36.93189610337936,6.0,42.93189610337936,0,True
62,['7'],716.5303320665192,4,,,2883.4696679334807,,,0,False
63,"['5', '7']",717.09293096798,10,[1363.5271084680319],[1379.5271084680319],2866.9070690320204,16.0,2882.9070690320204,1,False
64,"['3', '1']",717.626183320042,1,[734.788279886912],[747.788279886912],17.162096566870105,13.0,30.162096566870105,0,True
65,"['B3', '1']",725.6880572484987,3,[739.6880572484987],[753.6880572484987],2860.311942751501,14.0,2874.311942751501,1,False
66,"['15', '7']",771.4559840874356,3,[794.4559840874356],[828.4559840874356],2794.5440159125646,34.0,2828.5440159125646,1,False
67,"['5', '7']",793.4390067027588,7,[1364.5271084680319],[1379.5271084680319],571.0881017652731,15.0,586.0881017652731,0,True
68,"['B1', '1']",798.5999811516386,10,[805.5999811516386],[811.5999811516386],2795.4000188483615,6.0,2801.4000188483615,1,False
69,"['14', '7']",804.3403630923694,1,[2602.0224077758967],[2647.0224077758967],2750.6596369076306,45.0,2795.6596369076306,1,False
70,['1'],813.3365439248028,14,,,2786.6634560751972,,,0,False
71,"['4', '2']",822.1137568936522,2,[837.1137568936522],[847.1137568936522],15.0,10.0,25.0,0,True
72,['1'],824.2700267260577,B4,,,2775.729973273942,,,0,False
73,"['11', '10']",824.4825710994406,10,[3168.6513196899314],[3192.6513196899314],2344.168748590491,24.0,2368.168748590491,0,True
74,"['8', '7']",843.5555734212662,1,[849.5555734212662],[855.5555734212662],2750.444426578734,6.0,2756.444426578734,1,False
75,"['11', '7']",856.029779370638,B4,[3170.6513196899314],[3208.6513196899314],2705.970220629362,38.0,2743.970220629362,1,False
76,"['4', '7', '8']",872.9404820071559,8,"[883.9404820071559, 983.1558201315427]","[897.9404820071559, 989.1558201315427]",96.21533812438679,20.0,116.21533812438679,1,True
77,"['14', '15']",901.5325595400226,15,[932.5325595400226],[938.5325595400226],31.0,6.0,37.0,0,True
78,"['5', '7']",911.0447670439306,9,[1365.5271084680319],[1379.5271084680319],2674.9552329560697,14.0,2688.9552329560697,1,False
79,"['14', '7']",920.699804854268,1,[2603.0224077758967],[2647.0224077758967],2635.300195145732,44.0,2679.300195145732,1,False
80,"['5', '7']",935.9924464900673,14,[1366.5271084680319],[1379.5271084680319],2651.007553509933,13.0,2664.007553509933,1,False
81,"['9', '13']",963.4544947855537,13,[998.1558201315427],[1016.1558201315427],34.70132534598895,18.0,52.70132534598895,0,True
82,"['8', '7']",964.1558201315427,7,[974.1558201315427],[980.1558201315427],10.0,6.0,16.0,0,True
